Accession;Title;Sample Type;Taxonomy;Channels;Platform;Series;Supplementary Types;Supplementary Links;SRA Accession;Contact;Release Date
GSM5976499;MSCCR_reGRID_1_Biopsy_1, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640226;SRX14640226;Carmen argmann;Sep 16, 2022
GSM5976500;MSCCR_reGRID_1_Biopsy_2, UC participants,LeftColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640227;SRX14640227;Carmen argmann;Sep 16, 2022
GSM5976501;MSCCR_reGRID_1_Biopsy_3, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640228;SRX14640228;Carmen argmann;Sep 16, 2022
GSM5976502;MSCCR_reGRID_10_Biopsy_18, CD participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640229;SRX14640229;Carmen argmann;Sep 16, 2022
GSM5976503;MSCCR_reGRID_10_Biopsy_19, CD participants,LeftColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640230;SRX14640230;Carmen argmann;Sep 16, 2022
GSM5976504;MSCCR_reGRID_10_Biopsy_20, CD participants,Transverse NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640231;SRX14640231;Carmen argmann;Sep 16, 2022
GSM5976505;MSCCR_reGRID_100_Biopsy_201, CD participants,Sigmoid NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640232;SRX14640232;Carmen argmann;Sep 16, 2022
GSM5976506;MSCCR_reGRID_100_Biopsy_202, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640233;SRX14640233;Carmen argmann;Sep 16, 2022
GSM5976507;MSCCR_reGRID_1000_Biopsy_1732, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640234;SRX14640234;Carmen argmann;Sep 16, 2022
GSM5976508;MSCCR_reGRID_1000_Biopsy_1733, UC participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640235;SRX14640235;Carmen argmann;Sep 16, 2022
GSM5976509;MSCCR_reGRID_1001_Biopsy_1734, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640236;SRX14640236;Carmen argmann;Sep 16, 2022
GSM5976510;MSCCR_reGRID_1001_Biopsy_1735, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640237;SRX14640237;Carmen argmann;Sep 16, 2022
GSM5976511;MSCCR_reGRID_1002_Biopsy_1736, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640238;SRX14640238;Carmen argmann;Sep 16, 2022
GSM5976512;MSCCR_reGRID_1002_Biopsy_1737, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640239;SRX14640239;Carmen argmann;Sep 16, 2022
GSM5976513;MSCCR_reGRID_1004_Biopsy_1738, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640240;SRX14640240;Carmen argmann;Sep 16, 2022
GSM5976514;MSCCR_reGRID_1004_Biopsy_1739, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640241;SRX14640241;Carmen argmann;Sep 16, 2022
GSM5976515;MSCCR_reGRID_1008_Biopsy_1740, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640242;SRX14640242;Carmen argmann;Sep 16, 2022
GSM5976516;MSCCR_reGRID_1008_Biopsy_1741, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640243;SRX14640243;Carmen argmann;Sep 16, 2022
GSM5976517;MSCCR_reGRID_101_Biopsy_203, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640244;SRX14640244;Carmen argmann;Sep 16, 2022
GSM5976518;MSCCR_reGRID_101_Biopsy_204, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640245;SRX14640245;Carmen argmann;Sep 16, 2022
GSM5976519;MSCCR_reGRID_1010_Biopsy_1742, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640246;SRX14640246;Carmen argmann;Sep 16, 2022
GSM5976520;MSCCR_reGRID_1012_Biopsy_1743, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640247;SRX14640247;Carmen argmann;Sep 16, 2022
GSM5976521;MSCCR_reGRID_1012_Biopsy_1744, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640248;SRX14640248;Carmen argmann;Sep 16, 2022
GSM5976522;MSCCR_reGRID_1013_Biopsy_1745, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640249;SRX14640249;Carmen argmann;Sep 16, 2022
GSM5976523;MSCCR_reGRID_1013_Biopsy_1746, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641307;SRX14641307;Carmen argmann;Sep 16, 2022
GSM5976524;MSCCR_reGRID_1015_Biopsy_1747, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641308;SRX14641308;Carmen argmann;Sep 16, 2022
GSM5976525;MSCCR_reGRID_1015_Biopsy_1748, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641309;SRX14641309;Carmen argmann;Sep 16, 2022
GSM5976526;MSCCR_reGRID_1016_Biopsy_1749, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640199;SRX14640199;Carmen argmann;Sep 16, 2022
GSM5976527;MSCCR_reGRID_1017_Biopsy_1750, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640200;SRX14640200;Carmen argmann;Sep 16, 2022
GSM5976528;MSCCR_reGRID_1017_Biopsy_1751, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640201;SRX14640201;Carmen argmann;Sep 16, 2022
GSM5976529;MSCCR_reGRID_1018_Biopsy_1752, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641310;SRX14641310;Carmen argmann;Sep 16, 2022
GSM5976530;MSCCR_reGRID_1018_Biopsy_1753, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641311;SRX14641311;Carmen argmann;Sep 16, 2022
GSM5976531;MSCCR_reGRID_1018_Biopsy_1754, UC participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641312;SRX14641312;Carmen argmann;Sep 16, 2022
GSM5976532;MSCCR_reGRID_1019_Biopsy_1755, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641313;SRX14641313;Carmen argmann;Sep 16, 2022
GSM5976533;MSCCR_reGRID_1019_Biopsy_1756, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641314;SRX14641314;Carmen argmann;Sep 16, 2022
GSM5976534;MSCCR_reGRID_102_Biopsy_205, CD participants,Ileum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641315;SRX14641315;Carmen argmann;Sep 16, 2022
GSM5976535;MSCCR_reGRID_102_Biopsy_206, CD participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641316;SRX14641316;Carmen argmann;Sep 16, 2022
GSM5976536;MSCCR_reGRID_102_Biopsy_207, CD participants,Sigmoid NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641317;SRX14641317;Carmen argmann;Sep 16, 2022
GSM5976537;MSCCR_reGRID_1020_Biopsy_1757, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641318;SRX14641318;Carmen argmann;Sep 16, 2022
GSM5976538;MSCCR_reGRID_1020_Biopsy_1758, CD participants,Transverse I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641319;SRX14641319;Carmen argmann;Sep 16, 2022
GSM5976539;MSCCR_reGRID_1020_Biopsy_1759, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641320;SRX14641320;Carmen argmann;Sep 16, 2022
GSM5976540;MSCCR_reGRID_1021_Biopsy_1760, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641321;SRX14641321;Carmen argmann;Sep 16, 2022
GSM5976541;MSCCR_reGRID_1022_Biopsy_1761, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641322;SRX14641322;Carmen argmann;Sep 16, 2022
GSM5976542;MSCCR_reGRID_1022_Biopsy_1762, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641323;SRX14641323;Carmen argmann;Sep 16, 2022
GSM5976543;MSCCR_reGRID_1024_Biopsy_1763, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641324;SRX14641324;Carmen argmann;Sep 16, 2022
GSM5976544;MSCCR_reGRID_1026_Biopsy_1764, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641325;SRX14641325;Carmen argmann;Sep 16, 2022
GSM5976545;MSCCR_reGRID_1026_Biopsy_1765, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641326;SRX14641326;Carmen argmann;Sep 16, 2022
GSM5976546;MSCCR_reGRID_1028_Biopsy_1766, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641327;SRX14641327;Carmen argmann;Sep 16, 2022
GSM5976547;MSCCR_reGRID_1028_Biopsy_1767, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641328;SRX14641328;Carmen argmann;Sep 16, 2022
GSM5976548;MSCCR_reGRID_1029_Biopsy_1768, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641329;SRX14641329;Carmen argmann;Sep 16, 2022
GSM5976549;MSCCR_reGRID_103_Biopsy_208, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641330;SRX14641330;Carmen argmann;Sep 16, 2022
GSM5976550;MSCCR_reGRID_103_Biopsy_209, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641945;SRX14641945;Carmen argmann;Sep 16, 2022
GSM5976551;MSCCR_reGRID_103_Biopsy_210, CD participants,LeftColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641946;SRX14641946;Carmen argmann;Sep 16, 2022
GSM5976552;MSCCR_reGRID_1030_Biopsy_1769, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641947;SRX14641947;Carmen argmann;Sep 16, 2022
GSM5976553;MSCCR_reGRID_1031_Biopsy_1770, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641948;SRX14641948;Carmen argmann;Sep 16, 2022
GSM5976554;MSCCR_reGRID_1031_Biopsy_1771, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641949;SRX14641949;Carmen argmann;Sep 16, 2022
GSM5976555;MSCCR_reGRID_1032_Biopsy_1772, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641950;SRX14641950;Carmen argmann;Sep 16, 2022
GSM5976556;MSCCR_reGRID_1032_Biopsy_1773, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641951;SRX14641951;Carmen argmann;Sep 16, 2022
GSM5976557;MSCCR_reGRID_1033_Biopsy_1774, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641952;SRX14641952;Carmen argmann;Sep 16, 2022
GSM5976558;MSCCR_reGRID_1033_Biopsy_1775, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641953;SRX14641953;Carmen argmann;Sep 16, 2022
GSM5976559;MSCCR_reGRID_1034_Biopsy_1776, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641954;SRX14641954;Carmen argmann;Sep 16, 2022
GSM5976560;MSCCR_reGRID_1034_Biopsy_1777, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641955;SRX14641955;Carmen argmann;Sep 16, 2022
GSM5976561;MSCCR_reGRID_1034_Biopsy_1778, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641956;SRX14641956;Carmen argmann;Sep 16, 2022
GSM5976562;MSCCR_reGRID_1036_Biopsy_1779, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641957;SRX14641957;Carmen argmann;Sep 16, 2022
GSM5976563;MSCCR_reGRID_1036_Biopsy_1780, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641958;SRX14641958;Carmen argmann;Sep 16, 2022
GSM5976564;MSCCR_reGRID_1037_Biopsy_1781, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641959;SRX14641959;Carmen argmann;Sep 16, 2022
GSM5976565;MSCCR_reGRID_1040_Biopsy_1782, UC participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641960;SRX14641960;Carmen argmann;Sep 16, 2022
GSM5976566;MSCCR_reGRID_1040_Biopsy_1783, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641961;SRX14641961;Carmen argmann;Sep 16, 2022
GSM5976567;MSCCR_reGRID_1040_Biopsy_1784, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641962;SRX14641962;Carmen argmann;Sep 16, 2022
GSM5976568;MSCCR_reGRID_1042_Biopsy_1785, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641963;SRX14641963;Carmen argmann;Sep 16, 2022
GSM5976569;MSCCR_reGRID_1042_Biopsy_1786, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641964;SRX14641964;Carmen argmann;Sep 16, 2022
GSM5976570;MSCCR_reGRID_1044_Biopsy_1787, CD participants,Cecum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641965;SRX14641965;Carmen argmann;Sep 16, 2022
GSM5976571;MSCCR_reGRID_1046_Biopsy_1788, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641966;SRX14641966;Carmen argmann;Sep 16, 2022
GSM5976572;MSCCR_reGRID_1046_Biopsy_1789, CD participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641967;SRX14641967;Carmen argmann;Sep 16, 2022
GSM5976573;MSCCR_reGRID_1047_Biopsy_1790, UC participants,LeftColon I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641968;SRX14641968;Carmen argmann;Sep 16, 2022
GSM5976574;MSCCR_reGRID_1047_Biopsy_1791, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640274;SRX14640274;Carmen argmann;Sep 16, 2022
GSM5976575;MSCCR_reGRID_1047_Biopsy_1792, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640275;SRX14640275;Carmen argmann;Sep 16, 2022
GSM5976576;MSCCR_reGRID_1048_Biopsy_1793, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640276;SRX14640276;Carmen argmann;Sep 16, 2022
GSM5976577;MSCCR_reGRID_1048_Biopsy_1794, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640277;SRX14640277;Carmen argmann;Sep 16, 2022
GSM5976578;MSCCR_reGRID_1049_Biopsy_1795, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640278;SRX14640278;Carmen argmann;Sep 16, 2022
GSM5976579;MSCCR_reGRID_105_Biopsy_211, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640279;SRX14640279;Carmen argmann;Sep 16, 2022
GSM5976580;MSCCR_reGRID_1051_Biopsy_1796, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640280;SRX14640280;Carmen argmann;Sep 16, 2022
GSM5976581;MSCCR_reGRID_1053_Biopsy_1797, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640281;SRX14640281;Carmen argmann;Sep 16, 2022
GSM5976582;MSCCR_reGRID_1053_Biopsy_1798, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640282;SRX14640282;Carmen argmann;Sep 16, 2022
GSM5976583;MSCCR_reGRID_1053_Biopsy_1799, CD participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640283;SRX14640283;Carmen argmann;Sep 16, 2022
GSM5976584;MSCCR_reGRID_106_Biopsy_212, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640284;SRX14640284;Carmen argmann;Sep 16, 2022
GSM5976585;MSCCR_reGRID_106_Biopsy_213, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640285;SRX14640285;Carmen argmann;Sep 16, 2022
GSM5976586;MSCCR_reGRID_1061_Biopsy_1800, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640286;SRX14640286;Carmen argmann;Sep 16, 2022
GSM5976587;MSCCR_reGRID_1062_Biopsy_1801, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640287;SRX14640287;Carmen argmann;Sep 16, 2022
GSM5976588;MSCCR_reGRID_1063_Biopsy_1802, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640288;SRX14640288;Carmen argmann;Sep 16, 2022
GSM5976589;MSCCR_reGRID_1063_Biopsy_1803, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640289;SRX14640289;Carmen argmann;Sep 16, 2022
GSM5976590;MSCCR_reGRID_1064_Biopsy_1804, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640290;SRX14640290;Carmen argmann;Sep 16, 2022
GSM5976591;MSCCR_reGRID_1065_Biopsy_1805, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640291;SRX14640291;Carmen argmann;Sep 16, 2022
GSM5976592;MSCCR_reGRID_1066_Biopsy_1806, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640292;SRX14640292;Carmen argmann;Sep 16, 2022
GSM5976593;MSCCR_reGRID_1066_Biopsy_1807, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640293;SRX14640293;Carmen argmann;Sep 16, 2022
GSM5976594;MSCCR_reGRID_1067_Biopsy_1808, UC participants,Sigmoid NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640294;SRX14640294;Carmen argmann;Sep 16, 2022
GSM5976595;MSCCR_reGRID_1067_Biopsy_1809, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640295;SRX14640295;Carmen argmann;Sep 16, 2022
GSM5976596;MSCCR_reGRID_1068_Biopsy_1810, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640296;SRX14640296;Carmen argmann;Sep 16, 2022
