Accession;Title;Sample Type;Taxonomy;Channels;Platform;Series;Supplementary Types;Supplementary Links;SRA Accession;Contact;Release Date
GSM5976873;MSCCR_reGRID_1300_Biopsy_2031, CD participants,Ileum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640381;SRX14640381;Carmen argmann;Sep 16, 2022
GSM5976874;MSCCR_reGRID_1300_Biopsy_2032, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640382;SRX14640382;Carmen argmann;Sep 16, 2022
GSM5976875;MSCCR_reGRID_1302_Biopsy_2033, CD participants,Cecum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640383;SRX14640383;Carmen argmann;Sep 16, 2022
GSM5976876;MSCCR_reGRID_1302_Biopsy_2034, CD participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640384;SRX14640384;Carmen argmann;Sep 16, 2022
GSM5976877;MSCCR_reGRID_1302_Biopsy_2035, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640385;SRX14640385;Carmen argmann;Sep 16, 2022
GSM5976878;MSCCR_reGRID_1303_Biopsy_2036, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640386;SRX14640386;Carmen argmann;Sep 16, 2022
GSM5976879;MSCCR_reGRID_1304_Biopsy_2037, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640387;SRX14640387;Carmen argmann;Sep 16, 2022
GSM5976880;MSCCR_reGRID_1305_Biopsy_2038, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640388;SRX14640388;Carmen argmann;Sep 16, 2022
GSM5976881;MSCCR_reGRID_1305_Biopsy_2039, CD participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640389;SRX14640389;Carmen argmann;Sep 16, 2022
GSM5976882;MSCCR_reGRID_1309_Biopsy_2040, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640390;SRX14640390;Carmen argmann;Sep 16, 2022
GSM5976883;MSCCR_reGRID_131_Biopsy_263, UC participants,Sigmoid NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640391;SRX14640391;Carmen argmann;Sep 16, 2022
GSM5976884;MSCCR_reGRID_131_Biopsy_264, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640392;SRX14640392;Carmen argmann;Sep 16, 2022
GSM5976885;MSCCR_reGRID_1311_Biopsy_2041, CD participants,Transverse I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640393;SRX14640393;Carmen argmann;Sep 16, 2022
GSM5976886;MSCCR_reGRID_1311_Biopsy_2042, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641417;SRX14641417;Carmen argmann;Sep 16, 2022
GSM5976887;MSCCR_reGRID_1314_Biopsy_2043, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641418;SRX14641418;Carmen argmann;Sep 16, 2022
GSM5976888;MSCCR_reGRID_1314_Biopsy_2044, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641419;SRX14641419;Carmen argmann;Sep 16, 2022
GSM5976889;MSCCR_reGRID_1315_Biopsy_2045, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641420;SRX14641420;Carmen argmann;Sep 16, 2022
GSM5976890;MSCCR_reGRID_1316_Biopsy_2046, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641421;SRX14641421;Carmen argmann;Sep 16, 2022
GSM5976891;MSCCR_reGRID_1316_Biopsy_2047, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641422;SRX14641422;Carmen argmann;Sep 16, 2022
GSM5976892;MSCCR_reGRID_1317_Biopsy_2048, UC participants,RightColon I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641423;SRX14641423;Carmen argmann;Sep 16, 2022
GSM5976893;MSCCR_reGRID_1317_Biopsy_2049, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641424;SRX14641424;Carmen argmann;Sep 16, 2022
GSM5976894;MSCCR_reGRID_1317_Biopsy_2050, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641425;SRX14641425;Carmen argmann;Sep 16, 2022
GSM5976895;MSCCR_reGRID_1318_Biopsy_2051, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641426;SRX14641426;Carmen argmann;Sep 16, 2022
GSM5976896;MSCCR_reGRID_1318_Biopsy_2052, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641427;SRX14641427;Carmen argmann;Sep 16, 2022
GSM5976897;MSCCR_reGRID_1319_Biopsy_2053, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641428;SRX14641428;Carmen argmann;Sep 16, 2022
GSM5976898;MSCCR_reGRID_1319_Biopsy_2054, CD participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641429;SRX14641429;Carmen argmann;Sep 16, 2022
GSM5976899;MSCCR_reGRID_1319_Biopsy_2055, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641430;SRX14641430;Carmen argmann;Sep 16, 2022
GSM5976900;MSCCR_reGRID_132_Biopsy_265, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641431;SRX14641431;Carmen argmann;Sep 16, 2022
GSM5976901;MSCCR_reGRID_132_Biopsy_266, CD participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641432;SRX14641432;Carmen argmann;Sep 16, 2022
GSM5976902;MSCCR_reGRID_132_Biopsy_267, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641433;SRX14641433;Carmen argmann;Sep 16, 2022
GSM5976903;MSCCR_reGRID_1320_Biopsy_2056, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641434;SRX14641434;Carmen argmann;Sep 16, 2022
GSM5976904;MSCCR_reGRID_1323_Biopsy_2057, CD participants,Ileum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641435;SRX14641435;Carmen argmann;Sep 16, 2022
GSM5976905;MSCCR_reGRID_1323_Biopsy_2058, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641436;SRX14641436;Carmen argmann;Sep 16, 2022
GSM5976906;MSCCR_reGRID_1326_Biopsy_2059, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641437;SRX14641437;Carmen argmann;Sep 16, 2022
GSM5976907;MSCCR_reGRID_1326_Biopsy_2060, CD participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641438;SRX14641438;Carmen argmann;Sep 16, 2022
GSM5976908;MSCCR_reGRID_1326_Biopsy_2061, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641439;SRX14641439;Carmen argmann;Sep 16, 2022
GSM5976909;MSCCR_reGRID_1327_Biopsy_2062, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641440;SRX14641440;Carmen argmann;Sep 16, 2022
GSM5976910;MSCCR_reGRID_1328_Biopsy_2063, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642401;SRX14642401;Carmen argmann;Sep 16, 2022
GSM5976911;MSCCR_reGRID_1328_Biopsy_2064, UC participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642402;SRX14642402;Carmen argmann;Sep 16, 2022
