Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR18509157;30/09/2022 10:35;28/03/2022 20:03;35612988;3728670528;0;104;1399;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509157/SRR18509157.lite.1;SRX14640236;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406303;SAMN27025744;simple;9606;Homo sapiens;GSM5976509;;;;;;;no;;;;;GEO;SRA1356613;;public;49C4E77C67864BDC87D1D70F28296FC9;8D28E5CC638C6940410AA54E42E6259C
SRR18509158;30/09/2022 10:35;28/03/2022 20:21;68643868;7006203608;0;102;2567;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR018/18509/SRR18509158/SRR18509158.lite.1;SRX14640237;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406304;SAMN27025746;simple;9606;Homo sapiens;GSM5976510;;;;;;;no;;;;;GEO;SRA1356613;;public;86B1F62E6F1C182CA12E0763D532EAF5;4CD6C836C62FB47220EA467045EB5B23
SRR18509159;30/09/2022 10:35;28/03/2022 20:12;54990653;5499065300;0;100;1847;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509159/SRR18509159.lite.1;SRX14640238;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406305;SAMN27025747;simple;9606;Homo sapiens;GSM5976511;;;;;;;no;;;;;GEO;SRA1356613;;public;B5C7D9D6C004A808710538128C6C26D5;0C63A2AF60141C1F8508EBDE6C83B1F4
SRR18509160;30/09/2022 10:35;28/03/2022 20:19;47508819;4750881900;0;100;1574;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR018/18509/SRR18509160/SRR18509160.lite.1;SRX14640239;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406306;SAMN27025748;simple;9606;Homo sapiens;GSM5976512;;;;;;;no;;;;;GEO;SRA1356613;;public;DF33B23EB77B2A6E5162D4E779F242B5;D9643B35C4BF6DE29C3FFB53E09AE5AC
SRR18509161;30/09/2022 10:35;28/03/2022 19:55;13807001;1380700100;0;100;545;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509161/SRR18509161.lite.1;SRX14640240;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406307;SAMN27025749;simple;9606;Homo sapiens;GSM5976513;;;;;;;no;;;;;GEO;SRA1356613;;public;F3745BF91E609044A1AA7CE7F3ACDEB0;562665C15FF414F681293FC46AD68135
SRR18509162;30/09/2022 10:35;28/03/2022 19:58;20486576;2048657600;0;100;794;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509162/SRR18509162.lite.1;SRX14640241;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406308;SAMN27025637;simple;9606;Homo sapiens;GSM5976514;;;;;;;no;;;;;GEO;SRA1356613;;public;6D0B5B0F98133BE059E916B3702A2692;30BE7B2B45170F0CB52F47CAD3C829D9
SRR18509163;30/09/2022 10:35;28/03/2022 20:14;36115748;3611574800;0;100;1363;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509163/SRR18509163.lite.1;SRX14640242;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406309;SAMN27025638;simple;9606;Homo sapiens;GSM5976515;;;;;;;no;;;;;GEO;SRA1356613;;public;B3F019E2C77A572147151CDB9B6743A3;D72F72FACDCB45F2A8882B9A3EF1DD2D
SRR18509164;30/09/2022 10:35;28/03/2022 20:13;38332561;3833256100;0;100;1447;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509164/SRR18509164.lite.1;SRX14640243;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406310;SAMN27025639;simple;9606;Homo sapiens;GSM5976516;;;;;;;no;;;;;GEO;SRA1356613;;public;C64D882648928517A1977B17792BA565;397715FF95FEFB14805A58FDA19ADC1A
SRR18509165;30/09/2022 10:35;28/03/2022 20:11;55776802;5577680200;0;100;1896;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509165/SRR18509165.lite.1;SRX14640244;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406311;SAMN27025640;simple;9606;Homo sapiens;GSM5976517;;;;;;;no;;;;;GEO;SRA1356613;;public;73B91940E43AF4EBD4B0D746A7C217E6;5221390D5A1D9EFC4099BE6D1FD53C25
SRR18509166;30/09/2022 10:35;28/03/2022 20:12;46295817;4629581700;0;100;1581;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509166/SRR18509166.lite.1;SRX14640245;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406312;SAMN27025641;simple;9606;Homo sapiens;GSM5976518;;;;;;;no;;;;;GEO;SRA1356613;;public;930954C966BF8C663C24F623BBA49D40;23DF023C99B9E197C7B3AF38D1421671
