GeneID;Base.mean;log2.FC.;StdErr;Wald.Stats;P.value;P.adj
729;530.6954665;-5.626453136;0.91598787;-6.142497429;8.12E-10;1.55E-05
57834;392.9154993;-3.99732904;0.780523096;-5.121346263;3.03E-07;0.001925236
6492;16.7732481;-7.373177271;1.430172849;-5.155444864;2.53E-07;0.001925236
53832;80.89672053;4.347912492;0.934025975;4.655023102;3.24E-06;0.015418943
3024;63.01348142;-3.697333254;0.818548767;-4.51693705;6.27E-06;0.023890345
4689;76.6959974;-1.61437251;0.369719957;-4.36647381;1.26E-05;0.040067074
4582;340.0708788;3.956475164;0.920773789;4.296902463;1.73E-05;0.047108295
644844;3485.688904;-2.375967146;0.568169089;-4.181795866;2.89E-05;0.05790197
126433;26.44751657;-2.673607052;0.638533532;-4.187105169;2.83E-05;0.05790197
6820;42.06921458;-2.413522998;0.57873296;-4.170356912;3.04E-05;0.05790197
23221;1001.428099;-1.753093984;0.435612468;-4.024434816;5.71E-05;0.098851024
123099;870.9421722;-1.811475008;0.478447487;-3.786152204;0.000152998;0.208036871
50506;1103.872521;3.694484605;0.975056203;3.788996565;0.000151257;0.208036871
145741;69.47190873;2.830379993;0.749781518;3.774939666;0.000160046;0.208036871
3576;56.30145606;2.92333185;0.775625423;3.768999521;0.000163903;0.208036871
5763;186.2016642;-1.462821939;0.39634921;-3.690740136;0.000223602;0.240001047
6652;220.0538818;1.566952711;0.424710412;3.689461493;0.000224729;0.240001047
8170;122.6166514;-4.082764262;1.111493431;-3.673223924;0.000239509;0.240001047
9227;243.7439884;-2.960883714;0.805221839;-3.67710309;0.000235898;0.240001047
9629;10.78057427;2.825535838;0.77532704;3.644314838;0.000268105;0.244327181
972;24761.3436;-2.350597923;0.645239209;-3.642986801;0.000269493;0.244327181
83719;338.8227729;-1.665546946;0.459223928;-3.626873173;0.000286874;0.247608382
442038;70.41911333;-2.407822042;0.667682741;-3.606236755;0.00031067;0.247608382
8324;439.0949268;-1.775915177;0.494077581;-3.594405501;0.000325133;0.247608382
8727;541.1557313;0.823347916;0.228624445;3.601311815;0.000316616;0.247608382
1131;145.0212609;2.099802897;0.587012072;3.577103429;0.000347423;0.254406977
64236;609.9956813;-1.095714895;0.307365541;-3.564859263;0.000364051;0.256710228
5971;384.6176609;-1.52341376;0.437601302;-3.48128251;0.000499019;0.307509417
101060391;20.41651363;-2.341864279;0.67205895;-3.484611399;0.000492852;0.307509417
151295;537.8384848;-1.9292536;0.554322269;-3.480382634;0.000500698;0.307509417
56241;767.3554765;-2.443581091;0.700243842;-3.489614536;0.000483718;0.307509417
51166;39.89340081;1.49548425;0.4307938;3.47146187;0.000517633;0.307975362
84649;320.3810714;-1.768407707;0.513199114;-3.445851053;0.000569264;0.328430846
338557;171.6496126;3.31073182;0.971819093;3.406736753;0.000657445;0.3511726
220359;27.4435998;-1.61924441;0.475685799;-3.404020918;0.000664017;0.3511726
64499;103.7241067;-2.006112232;0.587905572;-3.412303484;0.000644164;0.3511726
6003;485.177447;-2.954952201;0.873519874;-3.382810499;0.000717481;0.365533658
200315;11.45310023;3.04542488;0.901488318;3.378218907;0.00072957;0.365533658
2786;95.26365726;-1.899545373;0.567360451;-3.348039806;0.000813853;0.383698146
64115;1843.231557;-1.256950519;0.380463702;-3.303733079;0.000954066;0.383698146
4502;691.6655787;-1.490581269;0.453287657;-3.288378242;0.001007664;0.383698146
9294;306.8642647;-2.375666134;0.722132297;-3.289793494;0.001002609;0.383698146
4818;139.6670847;-2.283187569;0.687207672;-3.322412805;0.000892426;0.383698146
29841;45.14470254;1.741704683;0.529459652;3.28958907;0.001003338;0.383698146
140885;513.9602198;-1.391874243;0.423104131;-3.289673015;0.001003039;0.383698146
166012;13.80118023;-2.535318822;0.75725894;-3.348020984;0.000813908;0.383698146
221687;12.55731331;5.129408782;1.536913104;3.337474818;0.000845434;0.383698146
1191;2734.049602;-3.213128805;0.970673715;-3.310204814;0.000932277;0.383698146
1271;107.9117523;-2.187307618;0.660569685;-3.311244318;0.000928821;0.383698146
84278;62.88112021;1.287208661;0.388607048;3.312365714;0.000925105;0.383698146
338872;12.10469402;2.024181696;0.621343241;3.25775121;0.001122988;0.397518385
10631;395.6403299;2.179425679;0.667568546;3.264721941;0.001095716;0.397518385
326343;17.4660209;-3.459828985;1.064873083;-3.249052907;0.001157899;0.397518385
1825;52.5622868;-1.705904926;0.522189244;-3.266832756;0.001087579;0.397518385
129303;116.164236;-0.927043068;0.28557079;-3.246281135;0.001169233;0.397518385
2483;18.50914614;3.743046514;1.150297002;3.253982674;0.001137992;0.397518385
4499;430.6712043;-2.441932488;0.754286823;-3.237405739;0.001206218;0.40289791
11005;77.26867554;2.692979433;0.835508214;3.223163326;0.001267832;0.416176918
28576;3.643751595;-4.408344228;1.372942616;-3.210872891;0.001323325;0.427030103
10435;104.9879051;-1.263250869;0.394681278;-3.200686069;0.001371008;0.432259978
10266;27.20366624;-3.734797485;1.167937538;-3.197771596;0.001384939;0.432259978
102606463;4.346153706;-4.654067769;1.45914663;-3.18958196;0.001424787;0.437524607
114780;77.22885019;3.133008133;0.987999174;3.171063513;0.001518819;0.45899684
10493;582.9976823;-0.998244849;0.316220777;-3.156797151;0.001595123;0.474524078
5145;36.57026798;2.15463726;0.684262348;3.148846735;0.001639161;0.480122979
374407;37.22542943;-2.470664783;0.787315504;-3.1380873;0.001700542;0.490554894
5148;17.8574539;-3.169940122;1.014922593;-3.12333191;0.00178816;0.508130937
9153;2862.867393;-1.938243152;0.62909271;-3.081013533;0.002062973;0.543434879
8854;57.73538914;2.557934452;0.830071796;3.081582177;0.002059036;0.543434879
762;1332.194253;4.854930007;1.57384178;3.084763709;0.002037139;0.543434879
151473;148.233417;1.821009707;0.589065616;3.09135291;0.001992467;0.543434879
4057;810.5068963;-3.507210148;1.132906526;-3.095763039;0.001963072;0.543434879
51246;1648.174132;-1.09499923;0.355745409;-3.078041776;0.002083657;0.543434879
54985;77.71336659;-1.58376161;0.519988787;-3.045761081;0.002320922;0.597135544
55700;724.5149239;-0.682909922;0.229251513;-2.978867679;0.002893157;0.609543972
29760;813.033145;-1.109436581;0.369852113;-2.999676198;0.002702668;0.609543972
644943;29.90786359;1.563030267;0.523873465;2.983602664;0.002848764;0.609543972
10062;738.0457672;-1.046689759;0.354280135;-2.954412782;0.003132647;0.609543972
6947;20.93936371;2.883192374;0.957038068;3.012620364;0.002590027;0.609543972
684959;178.8349524;0.940137691;0.319604623;2.941564749;0.003265586;0.609543972
1396;1241.727455;-1.965658759;0.667595066;-2.944387786;0.003235943;0.609543972
100507472;14.30597819;1.948332771;0.659623929;2.953702382;0.003139867;0.609543972
7177;95.35292117;-2.011580248;0.665919383;-3.020756416;0.002521441;0.609543972
64063;18.61154453;2.416053075;0.819698342;2.947490497;0.003203646;0.609543972
4496;724.7687285;-2.258407971;0.765083734;-2.951844184;0.003158823;0.609543972
162514;403.3346006;-1.448821469;0.488667075;-2.96484364;0.003028368;0.609543972
9032;249.4390737;-1.860849466;0.626203247;-2.97163816;0.002962156;0.609543972
4905;14.51393843;-4.341754678;1.455231969;-2.98354817;0.002849272;0.609543972
5164;623.1873623;-1.373389964;0.465417568;-2.95087693;0.003168731;0.609543972
1628;261.8487543;-1.243807761;0.419782725;-2.962979865;0.003046765;0.609543972
5443;36.18258944;-2.099933954;0.695034158;-3.021339211;0.002516593;0.609543972
113278;500.8382371;-1.503484119;0.508488215;-2.956772791;0.003108771;0.609543972
1471;2496.33168;-1.044297736;0.344223104;-3.033781648;0.002415092;0.609543972
25825;1204.047126;1.036269215;0.343309992;3.018465059;0.002540587;0.609543972
191585;326.9009757;1.554809637;0.526535182;2.952907406;0.003147964;0.609543972
3543;5.246640965;-4.113137616;1.397605583;-2.942988828;0.003250601;0.609543972
7380;43.22043731;-2.518565186;0.853567353;-2.950634391;0.003171221;0.609543972
2045;127.8180954;1.342766119;0.447915747;2.997809583;0.002719275;0.609543972
729438;326.6968489;-1.18193507;0.398392282;-2.966761966;0.003009539;0.609543972
22797;1605.742405;-1.704048117;0.572976622;-2.974027303;0.002939189;0.609543972
26958;420.6636674;0.866217038;0.293001839;2.956353594;0.003113;0.609543972
