GeneID	    Base mean	             log2(FC)	              StdErr	            Wald-Stats	              P-value	              P-adj
729	530.695466453873	-5.62645313551657	0.915987869821701	-6.14249742915458	8.12339930061129e-10	1.54661399284338e-05
57834	392.915499340605	-3.99732904038554	0.780523095954011	-5.12134626266212	3.03362008711164e-07	0.00192523642795062
6492	16.7732480956547	-7.37317727115639	1.4301728494736	-5.15544486379406	2.53029488226784e-07	0.00192523642795062
53832	80.8967205262599	4.34791249194967	0.934025975085915	4.65502310206067	3.23944382659148e-06	0.0154189427536188
3024	63.0134814177105	-3.69733325396551	0.818548767215719	-4.5169370501185	6.27405468601513e-06	0.0238903454334084
4689	76.6959974042639	-1.61437250989779	0.369719957173865	-4.36647380963159	1.26268420297749e-05	0.0400670742341475
4582	340.070878814423	3.95647516401328	0.920773789483379	4.29690246312631	1.73201358847667e-05	0.047108295301439
644844	3485.68890398042	-2.37596714580191	0.568169088605902	-4.18179586579014	2.89215582798928e-05	0.0579019703820942
126433	26.4475165683106	-2.67360705213164	0.63853353189124	-4.18710516926624	2.82534928057112e-05	0.0579019703820942
6820	42.0692145833776	-2.41352299816021	0.578732959636273	-4.17035691154878	3.0412296014546e-05	0.0579019703820942
23221	1001.42809912419	-1.75309398437179	0.435612468413919	-4.02443481646626	5.71123098109423e-05	0.0988510242264118
123099	870.942172175576	-1.8114750075382	0.478447486993454	-3.78615220433372	0.000152997982777296	0.208036871162529
50506	1103.87252102195	3.69448460526464	0.975056203262872	3.78899656543042	0.00015125700475615	0.208036871162529
145741	69.4719087315424	2.83037999322	0.74978151794159	3.77493966641158	0.000160046395043127	0.208036871162529
3576	56.3014560600643	2.92333184952396	0.775625423480455	3.76899952093644	0.000163903202239505	0.208036871162529
5763	186.201664188245	-1.46282193854874	0.396349210392739	-3.69074013569811	0.00022360248372009	0.240001047333598
6652	220.053881825527	1.56695271144328	0.424710412225548	3.68946149267265	0.000224729239098127	0.240001047333598
8170	122.616651369488	-4.08276426207579	1.11149343089003	-3.67322392432541	0.000239509422729048	0.240001047333598
9227	243.743988355139	-2.9608837138696	0.805221839368919	-3.67710309023679	0.000235897722913098	0.240001047333598
9629	10.7805742714339	2.82553583785611	0.77532704046089	3.6443148380024	0.000268105068462954	0.24432718100448
972	24761.3435968968	-2.35059792335131	0.645239209460338	-3.64298680068945	0.000269492662487214	0.24432718100448
83719	338.822772908287	-1.66554694615943	0.459223928381492	-3.62687317281037	0.000286874110107177	0.247608382041968
442038	70.4191133276806	-2.40782204173716	0.667682741214617	-3.60623675453549	0.000310669711380223	0.247608382041968
8324	439.094926791898	-1.77591517670124	0.494077581434058	-3.59440550114955	0.00032513312416877	0.247608382041968
8727	541.155731264964	0.823347916227398	0.228624445323781	3.60131181537199	0.000316615560887653	0.247608382041968
1131	145.021260930815	2.09980289683224	0.587012072403743	3.5771034286123	0.000347422732543642	0.254406977111477
64236	609.995681313275	-1.09571489505041	0.30736554078009	-3.56485926258845	0.000364051480964128	0.256710227632446
5971	384.617660921872	-1.5234137603702	0.437601302405958	-3.48128250988829	0.000499018857541084	0.307509416791983
101060391	20.4165136271157	-2.34186427862664	0.672058950268092	-3.48461139858704	0.000492852256218763	0.307509416791983
151295	537.838484824503	-1.92925360049821	0.554322269447716	-3.48038263449234	0.000500698141738089	0.307509416791983
56241	767.355476515862	-2.44358109123535	0.70024384245963	-3.48961453577684	0.000483717721117189	0.307509416791983
51166	39.8934008063493	1.495484249695	0.4307937997119	3.47146187037772	0.000517632837577258	0.307975362332294
84649	320.381071424901	-1.76840770749828	0.513199114071537	-3.44585105275879	0.000569264033453089	0.32843084645192
338557	171.649612622314	3.31073182014494	0.971819092737982	3.40673675263711	0.000657445037537325	0.351172599730648
220359	27.4435997960892	-1.61924440980629	0.475685798869319	-3.40402091812526	0.000664016681039094	0.351172599730648
64499	103.724106743835	-2.00611223187598	0.587905572120459	-3.41230348377263	0.000644163539540984	0.351172599730648
6003	485.177447006324	-2.9549522009148	0.87351987406523	-3.38281049881887	0.000717481212777993	0.365533657961486
200315	11.453100230663	3.04542488021048	0.901488317917272	3.37821890720269	0.000729569777957689	0.365533657961486
2786	95.2636572643904	-1.89954537273858	0.567360450531527	-3.34803980601575	0.00081385320855906	0.383698146202914
64115	1843.2315569466	-1.25695051891398	0.38046370232428	-3.30373307949004	0.000954066234720347	0.383698146202914
4502	691.665578741496	-1.49058126858193	0.453287656990539	-3.28837824192738	0.00100766360156236	0.383698146202914
9294	306.864264695982	-2.37566613419356	0.722132297413627	-3.28979349449151	0.00100260934977469	0.383698146202914
4818	139.667084720043	-2.28318756931617	0.687207672008833	-3.32241280520341	0.000892425584805611	0.383698146202914
29841	45.14470254468	1.74170468326025	0.529459651626914	3.28958907049549	0.00100333795046002	0.383698146202914
140885	513.960219809592	-1.3918742425651	0.423104131137765	-3.28967301458915	0.00100303870063587	0.383698146202914
166012	13.8011802286564	-2.53531882231699	0.757258940260213	-3.34802098400554	0.000813908484464328	0.383698146202914
221687	12.5573133059981	5.12940878184232	1.53691310407739	3.33747481769407	0.000845433826167651	0.383698146202914
1191	2734.04960232196	-3.21312880510622	0.97067371518711	-3.31020481427876	0.000932277269505112	0.383698146202914
1271	107.911752326195	-2.18730761764104	0.660569685496157	-3.31124431784687	0.000928820760714974	0.383698146202914
84278	62.8811202081192	1.287208661121	0.388607047784629	3.31236571353791	0.000925105264351482	0.383698146202914
338872	12.104694023731	2.0241816961534	0.621343241343368	3.25775120974526	0.00112298813379494	0.397518385064789
10631	395.640329891548	2.17942567872579	0.667568545805637	3.26472194116876	0.00109571583223181	0.397518385064789
326343	17.4660208966699	-3.45982898490585	1.06487308277243	-3.249052906754	0.00115789940078856	0.397518385064789
1825	52.562286796332	-1.70590492576861	0.52218924364515	-3.26683275561273	0.00108757909928585	0.397518385064789
129303	116.164235993906	-0.927043067646392	0.285570789801523	-3.24628113502331	0.00116923313008184	0.397518385064789
2483	18.509146138875	3.74304651421166	1.15029700208852	3.25398267353183	0.00113799220368651	0.397518385064789
4499	430.67120428882	-2.44193248789349	0.754286822565111	-3.23740573856134	0.00120621780775741	0.402897909506902
11005	77.2686755366342	2.69297943264925	0.835508213502186	3.22316332637968	0.00126783240877839	0.416176917771238
28576	3.64375159464395	-4.40834422776668	1.37294261636686	-3.2108728909823	0.0013233245473151	0.427030102649698
10435	104.987905093066	-1.26325086909304	0.394681278238936	-3.20068606935109	0.00137100816471236	0.432259977623473
10266	27.2036662410646	-3.73479748532171	1.167937538005	-3.19777159633147	0.00138493926335584	0.432259977623473
102606463	4.34615370641437	-4.65406776909527	1.45914663024039	-3.18958196019583	0.00142478731142657	0.437524606810491
114780	77.2288501895929	3.13300813253507	0.987999174242828	3.17106351322217	0.00151881931331873	0.458996839782146
10493	582.997682264568	-0.998244849345327	0.316220777493695	-3.15679715057696	0.00159512269572362	0.474524078185657
5145	36.5702679845262	2.15463726035567	0.684262348039283	3.14884673477894	0.00163916138723806	0.480122979255776
374407	37.2254294306379	-2.47066478333056	0.787315503713664	-3.13808730004268	0.00170054220305625	0.490554893999817
5148	17.8574538976553	-3.16994012213777	1.01492259326399	-3.12333191041027	0.00178815971327173	0.50813093702956
9153	2862.8673932344	-1.93824315180576	0.629092709692476	-3.08101353257336	0.0020629727260253	0.543434878832615
8854	57.7353891421445	2.55793445161069	0.830071795838922	3.08158217690734	0.0020590363295935	0.543434878832615
762	1332.1942532288	4.85493000693323	1.57384177991837	3.08476370933871	0.00203713926058705	0.543434878832615
151473	148.233416969215	1.82100970701771	0.589065616211212	3.09135291027542	0.00199246670279334	0.543434878832615
