name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	828811	1067351	1896162	0.20938
Bacteroides xylanisolvens	371601	S	721368	1341317	2062685	0.22777
Bacteroides thetaiotaomicron	818	S	243798	60189	303987	0.03357
Bacteroides caccae	47678	S	228425	38184	266609	0.02944
Bacteroides fragilis	817	S	135610	115943	251553	0.02778
Bacteroides ovatus	28116	S	99445	316339	415784	0.04591
Bacteroides sp. M10	2763022	S	8390	9104	17494	0.00193
Bacteroides sp. DH3716P	2847299	S	2944	41007	43951	0.00485
Bacteroides sp. D2	556259	S	2896	5854	8750	0.00097
Bacteroides sp. CACC 737	2755405	S	2434	15736	18170	0.00201
Bacteroides sp. HF-162	2785531	S	1713	21316	23029	0.00254
Bacteroides sp. A1C1	2528203	S	1551	13298	14849	0.00164
Bacteroides sp. MSB163	3117552	S	251	106	357	0.00004
Bacteroides sp. ZJ-18	2709390	S	73	702	775	0.00009
Bacteroides sp. BFG-257	2972761	S	52	5192	5244	0.00058
Bacteroides sp. PHL 2737	2162637	S	13	4840	4853	0.00054
Bacteroides faecis	674529	S	6646	2452	9098	0.00100
Bacteroides nordii	291645	S	3549	231	3780	0.00042
Bacteroides faecium	2715212	S	2977	151	3128	0.00035
Bacteroides humanifaecis	2792859	S	2607	27603	30210	0.00334
Bacteroides caecimuris	1796613	S	1685	682	2367	0.00026
Bacteroides salyersiae	291644	S	1562	155	1717	0.00019
Bacteroides finegoldii	338188	S	1357	1032	2389	0.00026
Bacteroides luhongzhouii	2650158	S	1202	372	1574	0.00017
Bacteroides zhangwenhongii	2650157	S	926	953	1879	0.00021
Bacteroides intestinalis	329854	S	603	89	692	0.00008
Bacteroides stercoris	46506	S	483	99	582	0.00006
Bacteroides cellulosilyticus	246787	S	373	305	678	0.00007
Bacteroides eggerthii	28111	S	312	87	399	0.00004
Bacteroides helcogenes	290053	S	125	2	127	0.00001
Bacteroides heparinolyticus	28113	S	122	23	145	0.00002
uncultured Bacteroides sp.	162156	S	80	0	80	0.00001
Bacteroides zoogleoformans	28119	S	63	12	75	0.00001
Bacteroides graminisolvens	477666	S	48	0	48	0.00001
Bacteroides sedimenti	2136147	S	21	0	21	0.00000
Phocaeicola vulgatus	821	S	1079098	568458	1647556	0.18193
Phocaeicola dorei	357276	S	46586	34083	80669	0.00891
Phocaeicola coprophilus	387090	S	5609	1330	6939	0.00077
Phocaeicola salanitronis	376805	S	1066	48	1114	0.00012
Alistipes onderdonkii	328813	S	445774	76692	522466	0.05769
Alistipes communis	2585118	S	163481	14508	177989	0.01965
Alistipes finegoldii	214856	S	85465	31702	117167	0.01294
uncultured Alistipes sp.	538949	S	11230	526	11756	0.00130
Alistipes shahii	328814	S	7421	2033	9454	0.00104
Alistipes indistinctus	626932	S	3888	160	4048	0.00045
Alistipes dispar	2585119	S	3748	327	4075	0.00045
Alistipes senegalensis	1288121	S	3327	305	3632	0.00040
Alistipes megaguti	2364787	S	616	61	677	0.00007
Alistipes sp. dk3624	2662363	S	313	17	330	0.00004
Alistipes ihumii	1470347	S	256	3	259	0.00003
Odoribacter splanchnicus	28118	S	124218	9529	133747	0.01477
Butyricimonas virosa	544645	S	10855	375	11230	0.00124
Butyricimonas faecihominis	1472416	S	1245	124	1369	0.00015
Butyricimonas faecalis	2093856	S	778	233	1011	0.00011
Butyricimonas paravirosa	1472417	S	21	3	24	0.00000
Parabacteroides distasonis	823	S	82455	59940	142395	0.01572
Parabacteroides chongii	2685834	S	1555	98	1653	0.00018
Parabacteroides johnsonii	387661	S	833	79	912	0.00010
Parabacteroides sp. AD58	2951805	S	607	63	670	0.00007
Parabacteroides sp. CT06	2025876	S	14	292	306	0.00003
Parabacteroides goldsteinii	328812	S	573	51	624	0.00007
Parabacteroides faecis	1217282	S	329	17	346	0.00004
Parabacteroides merdae	46503	S	230	45	275	0.00003
Tannerella serpentiformis	712710	S	39	0	39	0.00000
Paraprevotella clara	454154	S	19662	1003	20665	0.00228
Paraprevotella xylaniphila	454155	S	22	2	24	0.00000
Prevotella melaninogenica	28132	S	889	297	1186	0.00013
Prevotella nigrescens	28133	S	474	259	733	0.00008
Prevotella intermedia	28131	S	68	27	95	0.00001
Prevotella sp. E2-28	2913620	S	10	0	10	0.00000
Prevotella denticola	28129	S	28	11	39	0.00000
Prevotella communis	2913614	S	13	0	13	0.00000
Prevotella corporis	28128	S	12	1	13	0.00000
Prevotella multiformis	282402	S	10	6	16	0.00000
Segatella copri	165179	S	496	33	529	0.00006
Segatella hominis	2518605	S	74	15	89	0.00001
Segatella oris	28135	S	16	0	16	0.00000
Segatella baroniae	305719	S	15	91	106	0.00001
Segatella bryantii	77095	S	13	40	53	0.00001
Hoylesella buccalis	28127	S	20	1	21	0.00000
Hoylesella enoeca	76123	S	10	0	10	0.00000
Pseudoprevotella muciniphila	2133944	S	12	0	12	0.00000
Barnesiella sp. An22	1965590	S	1867	135	2002	0.00022
Barnesiella viscericola	397865	S	201	17	218	0.00002
Coprobacter secundus	1501392	S	231	23	254	0.00003
Duncaniella dubosii	2518971	S	503	84	587	0.00006
Sodaliphilus pleomorphus	2606626	S	156	3	159	0.00002
Muribaculum intestinale	1796646	S	68	9	77	0.00001
Muribaculum gordoncarteri	2530390	S	10	4	14	0.00000
Paramuribaculum intestinale	2094151	S	40	7	47	0.00001
Porphyromonas gingivalis	837	S	27	6	33	0.00000
Porphyromonas sp. oral taxon 275	712435	S	15	0	15	0.00000
Porphyromonas asaccharolytica	28123	S	10	1	11	0.00000
uncultured Draconibacterium sp.	1573823	S	18	1	19	0.00000
Mangrovibacterium marinum	1639118	S	10	0	10	0.00000
Ornithobacterium rhinotracheale	28251	S	52	13	65	0.00001
Spirosoma taeanense	2735870	S	12	18	30	0.00000
Algoriphagus sp. Y33	2772483	S	10	28	38	0.00000
Sphingobacterium spiritivorum	258	S	10	1	11	0.00000
Niastella koreensis	354356	S	10	2	12	0.00000
Faecalibacterium prausnitzii	853	S	82584	78395	160979	0.01778
Faecalibacterium sp. I4-3-84	2929495	S	3209	8626	11835	0.00131
Faecalibacterium sp. I3-3-89	2929493	S	2567	1462	4029	0.00044
Faecalibacterium sp. HTF-F	2929491	S	1580	2036	3616	0.00040
Faecalibacterium sp. I4-1-79	2929494	S	1413	1589	3002	0.00033
Faecalibacterium sp. I3-3-33	2929492	S	1313	1027	2340	0.00026
Faecalibacterium sp. IP-3-29	2929489	S	766	2449	3215	0.00036
Faecalibacterium sp. IP-1-18	2929488	S	630	5915	6545	0.00072
Faecalibacterium sp. I2-3-92	2929490	S	253	867	1120	0.00012
Faecalibacterium taiwanense	3030638	S	8699	34956	43655	0.00482
Faecalibacterium duncaniae	411483	S	1109	3620	4729	0.00052
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	161870	8312	170182	0.01879
Ruminococcus champanellensis	1161942	S	241	2	243	0.00003
Ruminococcus sp. SR1/5	657323	S	149	750	899	0.00010
Ruminococcus albus	1264	S	83	0	83	0.00001
Ruminococcus gauvreauii	438033	S	52	6	58	0.00001
Ruminococcus bovis	2564099	S	24	0	24	0.00000
Vescimonas coprocola	2714355	S	18869	4363	23232	0.00257
Vescimonas fastidiosa	2714353	S	2016	721	2737	0.00030
Flavonifractor plautii	292800	S	8286	695	8981	0.00099
Ruthenibacterium lactatiformans	1550024	S	4838	373	5211	0.00058
Oscillibacter sp. PEA192	2109687	S	2914	15820	18734	0.00207
Oscillibacter hominis	2763056	S	1054	103	1157	0.00013
Dysosmobacter welbionis	2093857	S	3610	18524	22134	0.00244
Pusillibacter faecalis	2714358	S	2999	462	3461	0.00038
Lawsonibacter asaccharolyticus	2108523	S	1640	104	1744	0.00019
Subdoligranulum variabile	214851	S	511	186	697	0.00008
uncultured Subdoligranulum sp.	512298	S	304	129	433	0.00005
Anaerotruncus colihominis	169435	S	899	156	1055	0.00012
Solibaculum mannosilyticum	2780922	S	188	45	233	0.00003
Caproicibacterium argilliputei	3030016	S	32	13	45	0.00000
Caproicibacterium sp. BJN0003	2994078	S	21	2	23	0.00000
Caproicibacterium lactatifermentans	2666138	S	18	6	24	0.00000
Caproicibacterium amylolyticum	2766537	S	17	5	22	0.00000
Ethanoligenens harbinense	253239	S	32	1	33	0.00000
Thermocaproicibacter melissae	2966552	S	13	0	13	0.00000
Petroclostridium sp. X23	3045146	S	13	0	13	0.00000
Mageeibacillus indolicus	884684	S	11	1	12	0.00000
Paludicola sp. MB14-C6	3070656	S	10	0	10	0.00000
Intestinimonas butyriciproducens	1297617	S	12029	748	12777	0.00141
Flintibacter sp. KGMB00164	2610895	S	800	48	848	0.00009
Massilistercora timonensis	2086584	S	250	87	337	0.00004
Eubacterium ventriosum	39496	S	1232	268	1500	0.00017
Eubacterium callanderi	53442	S	122	13	135	0.00001
Eubacterium sp. MSJ-33	2841528	S	88	16	104	0.00001
Eubacterium limosum	1736	S	68	4	72	0.00001
Eubacterium maltosivorans	2041044	S	52	3	55	0.00001
Clostridium sp. M62/1	411486	S	441	191	632	0.00007
Clostridium sp. C1	1155388	S	111	34	145	0.00002
Clostridium sp. SY8519	1042156	S	39	2	41	0.00000
Clostridium sp. MD294	97138	S	16	0	16	0.00000
Clostridium sp. BJN0001	2930219	S	11	5	16	0.00000
Clostridium cadaveris	1529	S	28	4	32	0.00000
Clostridium perfringens	1502	S	22	103	125	0.00001
Clostridium pasteurianum	1501	S	14	1	15	0.00000
Clostridium intestinale	36845	S	10	1	11	0.00000
Proteiniclasticum sp. QWL-01	3036945	S	11	1	12	0.00000
Intestinibacillus sp. NTUH-41-i26	3079303	S	411	93	504	0.00006
Butyricicoccus sp. GAM44	2109686	S	120	0	120	0.00001
Agathobaculum sp. NTUH-O15-33	3079302	S	87	5	92	0.00001
Aristaeella hokkaidonensis	3046382	S	73	162	235	0.00003
Aristaeella lactis	3046383	S	57	122	179	0.00002
Acutalibacter muris	1796620	S	80	2	82	0.00001
Caproiciproducens sp. CPB-2	3030017	S	23	3	26	0.00000
Caproicibacter sp. BJN0012	3110227	S	12	51	63	0.00001
Caproicibacter fermentans	2576756	S	10	0	10	0.00000
Maliibacterium massiliense	2086585	S	115	5	120	0.00001
Dehalobacter sp. TBBPA1	3235037	S	15	2	17	0.00000
Lachnospira eligens	39485	S	32532	2713	35245	0.00389
Roseburia hominis	301301	S	15742	5706	21448	0.00237
Roseburia intestinalis	166486	S	5443	4810	10253	0.00113
Roseburia sp. 831b	1261635	S	261	27	288	0.00003
Roseburia sp. 499	1261634	S	200	20	220	0.00002
Roseburia rectibacter	2763062	S	436	149	585	0.00006
Blautia wexlerae	418240	S	10167	6479	16646	0.00184
Blautia obeum	40520	S	6208	2852	9060	0.00100
Blautia luti	89014	S	1213	549	1762	0.00019
Blautia sp. SC05B48	2479767	S	376	651	1027	0.00011
Blautia hansenii	1322	S	253	100	353	0.00004
Blautia parvula	2877527	S	217	65	282	0.00003
Blautia hydrogenotrophica	53443	S	195	18	213	0.00002
Blautia pseudococcoides	1796616	S	94	4	98	0.00001
Blautia coccoides	1532	S	84	188	272	0.00003
Blautia producta	33035	S	60	71	131	0.00001
