name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola vulgatus	821	S	1702838	958986	2661824	0.25675
Phocaeicola dorei	357276	S	94369	52221	146590	0.01414
Phocaeicola coprophilus	387090	S	32144	9394	41538	0.00401
Phocaeicola salanitronis	376805	S	17325	981	18306	0.00177
Phocaeicola sartorii	671267	S	206	151	357	0.00003
Bacteroides uniformis	820	S	301682	455859	757541	0.07307
Bacteroides caccae	47678	S	229966	88835	318801	0.03075
Bacteroides finegoldii	338188	S	160592	102870	263462	0.02541
Bacteroides thetaiotaomicron	818	S	150173	35928	186101	0.01795
Bacteroides salyersiae	291644	S	120252	13807	134059	0.01293
Bacteroides cellulosilyticus	246787	S	74902	49384	124286	0.01199
Bacteroides ovatus	28116	S	40394	98490	138884	0.01340
Bacteroides fragilis	817	S	37693	143230	180923	0.01745
Bacteroides xylanisolvens	371601	S	25710	47139	72849	0.00703
Bacteroides stercoris	46506	S	15594	3651	19245	0.00186
Bacteroides faecis	674529	S	15043	5381	20424	0.00197
Bacteroides sp. M10	2763022	S	2250	1886	4136	0.00040
Bacteroides sp. A1C1	2528203	S	1650	10851	12501	0.00121
Bacteroides sp. CACC 737	2755405	S	1531	7611	9142	0.00088
Bacteroides sp. D2	556259	S	1415	2115	3530	0.00034
Bacteroides sp. HF-162	2785531	S	1029	10151	11180	0.00108
Bacteroides sp. MSB163	3117552	S	870	293	1163	0.00011
Bacteroides sp. DH3716P	2847299	S	855	9233	10088	0.00097
Bacteroides sp. ZJ-18	2709390	S	69	490	559	0.00005
Bacteroides sp. PHL 2737	2162637	S	24	7180	7204	0.00069
Bacteroides sp. 2_2_4	469590	S	12	906	918	0.00009
Bacteroides zhangwenhongii	2650157	S	8169	7124	15293	0.00148
Bacteroides eggerthii	28111	S	6609	2195	8804	0.00085
uncultured Bacteroides sp.	162156	S	4093	26	4119	0.00040
Bacteroides humanifaecis	2792859	S	3252	26585	29837	0.00288
Bacteroides faecium	2715212	S	2927	117	3044	0.00029
Bacteroides caecimuris	1796613	S	2502	950	3452	0.00033
Bacteroides nordii	291645	S	2103	157	2260	0.00022
Bacteroides helcogenes	290053	S	1526	31	1557	0.00015
Bacteroides luhongzhouii	2650158	S	1182	282	1464	0.00014
Bacteroides heparinolyticus	28113	S	1020	179	1199	0.00012
Bacteroides zoogleoformans	28119	S	964	181	1145	0.00011
Bacteroides intestinalis	329854	S	851	101	952	0.00009
Bacteroides graminisolvens	477666	S	737	4	741	0.00007
Bacteroides sedimenti	2136147	S	504	5	509	0.00005
Alistipes finegoldii	214856	S	611170	251365	862535	0.08320
Alistipes shahii	328814	S	293298	88335	381633	0.03681
Alistipes onderdonkii	328813	S	124064	24271	148335	0.01431
Alistipes communis	2585118	S	76368	8258	84626	0.00816
Alistipes senegalensis	1288121	S	22856	2198	25054	0.00242
Alistipes ihumii	1470347	S	14329	197	14526	0.00140
uncultured Alistipes sp.	538949	S	12104	669	12773	0.00123
Alistipes indistinctus	626932	S	5229	250	5479	0.00053
Alistipes dispar	2585119	S	4946	535	5481	0.00053
Alistipes megaguti	2364787	S	4189	509	4698	0.00045
Alistipes sp. dk3624	2662363	S	822	54	876	0.00008
uncultured Acetobacteroides sp.	1760811	S	55	0	55	0.00001
Parabacteroides distasonis	823	S	208429	245446	453875	0.04378
Parabacteroides johnsonii	387661	S	149099	21948	171047	0.01650
Parabacteroides sp. AD58	2951805	S	39297	3919	43216	0.00417
Parabacteroides sp. CT06	2025876	S	2601	94853	97454	0.00940
Parabacteroides merdae	46503	S	8352	2256	10608	0.00102
Parabacteroides faecis	1217282	S	2039	155	2194	0.00021
Parabacteroides goldsteinii	328812	S	2013	235	2248	0.00022
Parabacteroides chongii	2685834	S	660	60	720	0.00007
Tannerella forsythia	28112	S	377	70	447	0.00004
Tannerella serpentiformis	712710	S	137	1	138	0.00001
Odoribacter splanchnicus	28118	S	166152	16770	182922	0.01764
Butyricimonas paravirosa	1472417	S	88659	30072	118731	0.01145
Butyricimonas faecihominis	1472416	S	17877	4133	22010	0.00212
Butyricimonas virosa	544645	S	8255	808	9063	0.00087
Butyricimonas faecalis	2093856	S	2429	938	3367	0.00032
Barnesiella sp. An22	1965590	S	13813	5005	18818	0.00182
Barnesiella viscericola	397865	S	9777	4462	14239	0.00137
Coprobacter secundus	1501392	S	5925	921	6846	0.00066
Coprobacter fastidiosus	1099853	S	697	69	766	0.00007
Prevotella sp. E9-3	2913621	S	180	41	221	0.00002
Prevotella sp. E15-22	2937774	S	151	30	181	0.00002
Prevotella sp. Rep29	2691580	S	140	12	152	0.00001
Prevotella sp. E13-17	2913616	S	125	22	147	0.00001
Prevotella sp. E2-28	2913620	S	88	15	103	0.00001
Prevotella sp. oral taxon 475	712471	S	82	7	89	0.00001
Prevotella sp. oral taxon 299	652716	S	52	12	64	0.00001
Prevotella jejuni	1177574	S	875	669	1544	0.00015
Prevotella multiformis	282402	S	543	421	964	0.00009
Prevotella intermedia	28131	S	377	245	622	0.00006
Prevotella communis	2913614	S	335	34	369	0.00004
Prevotella melaninogenica	28132	S	311	146	457	0.00004
Prevotella nigrescens	28133	S	234	575	809	0.00008
Prevotella denticola	28129	S	199	132	331	0.00003
Prevotella herbatica	2801997	S	127	4	131	0.00001
Prevotella corporis	28128	S	118	55	173	0.00002
Prevotella fusca	589436	S	109	47	156	0.00002
Prevotella veroralis	28137	S	77	41	118	0.00001
Prevotella histicola	470565	S	65	19	84	0.00001
Prevotella dentalis	52227	S	61	13	74	0.00001
Prevotella bivia	28125	S	55	10	65	0.00001
Prevotella scopos	589437	S	23	18	41	0.00000
Paraprevotella xylaniphila	454155	S	4447	1120	5567	0.00054
Paraprevotella clara	454154	S	858	184	1042	0.00010
Segatella copri	165179	S	2161	276	2437	0.00024
Segatella hominis	2518605	S	182	47	229	0.00002
Segatella oris	28135	S	98	85	183	0.00002
Segatella baroniae	305719	S	38	193	231	0.00002
Segatella bryantii	77095	S	37	98	135	0.00001
Hoylesella enoeca	76123	S	616	1040	1656	0.00016
Hoylesella buccalis	28127	S	352	285	637	0.00006
Xylanibacter ruminicola	839	S	248	21	269	0.00003
Pseudoprevotella muciniphila	2133944	S	169	5	174	0.00002
Paramuribaculum intestinale	2094151	S	449	72	521	0.00005
Muribaculum intestinale	1796646	S	223	33	256	0.00002
Muribaculum gordoncarteri	2530390	S	163	68	231	0.00002
Sodaliphilus pleomorphus	2606626	S	358	11	369	0.00004
Duncaniella dubosii	2518971	S	201	52	253	0.00002
Porphyromonas gingivalis	837	S	291	78	369	0.00004
Porphyromonas pogonae	867595	S	154	10	164	0.00002
Porphyromonas crevioricanis	393921	S	132	9	141	0.00001
Porphyromonas somerae	322095	S	92	11	103	0.00001
Porphyromonas asaccharolytica	28123	S	48	3	51	0.00000
Porphyromonas cangingivalis	36874	S	34	4	38	0.00000
Porphyromonas endodontalis	28124	S	29	2	31	0.00000
Porphyromonas sp. oral taxon 275	712435	S	22	0	22	0.00000
uncultured Macellibacteroides sp.	1243007	S	210	3	213	0.00002
Petrimonas mucosa	1642646	S	240	139	379	0.00004
Petrimonas sp.	2023866	S	90	52	142	0.00001
Proteiniphilum saccharofermentans	1642647	S	188	9	197	0.00002
Proteiniphilum propionicum	2829812	S	121	6	127	0.00001
Dysgonomonas capnocytophagoides	45254	S	132	9	141	0.00001
Dysgonomonas sp. HDW5A	2714926	S	26	41	67	0.00001
Dysgonomonas sp. HDW5B	2714927	S	16	24	40	0.00000
Paludibacter propionicigenes	185300	S	81	0	81	0.00001
Tenuifilum thalassicum	2590900	S	19	0	19	0.00000
Candidatus Azobacteroides pseudotrichonymphae	511435	S	12	0	12	0.00000
Salinivirga cyanobacteriivorans	1307839	S	10	0	10	0.00000
uncultured Draconibacterium sp.	1573823	S	345	75	420	0.00004
Draconibacterium orientale	1168034	S	83	44	127	0.00001
Draconibacterium halophilum	2706887	S	14	2	16	0.00000
Aquipluma nitroreducens	2010828	S	172	2	174	0.00002
Mangrovibacterium marinum	1639118	S	47	10	57	0.00001
Maribellus comscasis	2681766	S	31	5	36	0.00000
uncultured Sunxiuqinia sp.	1573825	S	15	17	32	0.00000
Marinifilum fragile	570161	S	102	33	135	0.00001
Labilibaculum antarcticum	1717717	S	22	2	24	0.00000
Labilibaculum manganireducens	1940525	S	21	5	26	0.00000
Labilibaculum sp.	2060723	S	19	5	24	0.00000
uncultured Carboxylicivirga sp.	1628156	S	96	8	104	0.00001
Xiashengella succiniciproducens	2949635	S	41	5	46	0.00000
Alkalitalea saponilacus	889453	S	38	2	40	0.00000
