name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	3974950	266959	4241909	0.53827
Segatella hominis	2518605	S	66110	13371	79481	0.01009
Segatella bryantii	77095	S	349	971	1320	0.00017
Segatella oris	28135	S	276	41	317	0.00004
Segatella baroniae	305719	S	159	862	1021	0.00013
Prevotella corporis	28128	S	6280	2012	8292	0.00105
Prevotella sp. Rep29	2691580	S	753	92	845	0.00011
Prevotella sp. E13-17	2913616	S	748	504	1252	0.00016
Prevotella sp. E15-22	2937774	S	485	323	808	0.00010
Prevotella sp. E9-3	2913621	S	459	294	753	0.00010
Prevotella sp. oral taxon 475	712471	S	441	64	505	0.00006
Prevotella sp. E2-28	2913620	S	333	182	515	0.00007
Prevotella sp. oral taxon 299	652716	S	130	56	186	0.00002
Prevotella intermedia	28131	S	1903	2485	4388	0.00056
Prevotella melaninogenica	28132	S	1856	2118	3974	0.00050
Prevotella denticola	28129	S	938	1306	2244	0.00028
Prevotella dentalis	52227	S	891	359	1250	0.00016
Prevotella communis	2913614	S	850	171	1021	0.00013
Prevotella jejuni	1177574	S	689	1259	1948	0.00025
Prevotella herbatica	2801997	S	668	7	675	0.00009
Prevotella nigrescens	28133	S	614	3475	4089	0.00052
Prevotella multiformis	282402	S	516	1132	1648	0.00021
Prevotella scopos	589437	S	326	695	1021	0.00013
Prevotella fusca	589436	S	257	243	500	0.00006
Prevotella bivia	28125	S	204	80	284	0.00004
Prevotella histicola	470565	S	160	88	248	0.00003
Prevotella veroralis	28137	S	72	66	138	0.00002
Paraprevotella clara	454154	S	1810	177	1987	0.00025
Paraprevotella xylaniphila	454155	S	118	18	136	0.00002
Hoylesella buccalis	28127	S	1439	264	1703	0.00022
Hoylesella enoeca	76123	S	319	109	428	0.00005
Xylanibacter ruminicola	839	S	711	9	720	0.00009
Pseudoprevotella muciniphila	2133944	S	88	0	88	0.00001
Parabacteroides distasonis	823	S	396293	272182	668475	0.08483
Parabacteroides merdae	46503	S	8122	1450	9572	0.00121
Parabacteroides goldsteinii	328812	S	3940	328	4268	0.00054
Parabacteroides johnsonii	387661	S	2256	184	2440	0.00031
Parabacteroides sp. CT06	2025876	S	71	1384	1455	0.00018
Parabacteroides sp. AD58	2951805	S	61	4	65	0.00001
Parabacteroides faecis	1217282	S	108	5	113	0.00001
Parabacteroides chongii	2685834	S	89	4	93	0.00001
Tannerella forsythia	28112	S	64	2	66	0.00001
Tannerella serpentiformis	712710	S	48	0	48	0.00001
Bacteroides fragilis	817	S	115000	83076	198076	0.02513
Bacteroides uniformis	820	S	44689	36201	80890	0.01026
Bacteroides thetaiotaomicron	818	S	31742	5513	37255	0.00473
Bacteroides xylanisolvens	371601	S	9776	9845	19621	0.00249
Bacteroides ovatus	28116	S	7843	12217	20060	0.00255
Bacteroides caccae	47678	S	5656	1003	6659	0.00084
Bacteroides sp. M10	2763022	S	2634	1400	4034	0.00051
Bacteroides sp. DH3716P	2847299	S	728	4994	5722	0.00073
Bacteroides sp. D2	556259	S	461	433	894	0.00011
Bacteroides sp. A1C1	2528203	S	210	886	1096	0.00014
Bacteroides sp. HF-162	2785531	S	137	874	1011	0.00013
Bacteroides sp. CACC 737	2755405	S	125	391	516	0.00007
Bacteroides sp. MSB163	3117552	S	44	9	53	0.00001
Bacteroides intestinalis	329854	S	4071	312	4383	0.00056
Bacteroides nordii	291645	S	3779	190	3969	0.00050
Bacteroides cellulosilyticus	246787	S	1297	546	1843	0.00023
Bacteroides faecis	674529	S	959	245	1204	0.00015
Bacteroides eggerthii	28111	S	644	160	804	0.00010
Bacteroides stercoris	46506	S	551	111	662	0.00008
Bacteroides salyersiae	291644	S	448	34	482	0.00006
Bacteroides heparinolyticus	28113	S	433	55	488	0.00006
Bacteroides humanifaecis	2792859	S	333	1701	2034	0.00026
Bacteroides caecimuris	1796613	S	298	77	375	0.00005
Bacteroides zhangwenhongii	2650157	S	284	166	450	0.00006
Bacteroides finegoldii	338188	S	245	102	347	0.00004
uncultured Bacteroides sp.	162156	S	193	0	193	0.00002
Bacteroides faecium	2715212	S	188	4	192	0.00002
Bacteroides zoogleoformans	28119	S	143	17	160	0.00002
Bacteroides luhongzhouii	2650158	S	132	19	151	0.00002
Bacteroides helcogenes	290053	S	48	0	48	0.00001
Bacteroides graminisolvens	477666	S	46	0	46	0.00001
Bacteroides sedimenti	2136147	S	16	0	16	0.00000
Phocaeicola vulgatus	821	S	45182	20623	65805	0.00835
Phocaeicola coprophilus	387090	S	4474	1079	5553	0.00070
Phocaeicola dorei	357276	S	1973	854	2827	0.00036
Phocaeicola salanitronis	376805	S	281	11	292	0.00004
Butyricimonas faecalis	2093856	S	5563	1835	7398	0.00094
Butyricimonas virosa	544645	S	576	74	650	0.00008
Butyricimonas faecihominis	1472416	S	109	26	135	0.00002
Butyricimonas paravirosa	1472417	S	41	13	54	0.00001
Odoribacter splanchnicus	28118	S	1947	254	2201	0.00028
Alistipes megaguti	2364787	S	1596	166	1762	0.00022
Alistipes communis	2585118	S	520	45	565	0.00007
Alistipes shahii	328814	S	437	155	592	0.00008
Alistipes finegoldii	214856	S	341	143	484	0.00006
Alistipes senegalensis	1288121	S	195	24	219	0.00003
Alistipes onderdonkii	328813	S	159	32	191	0.00002
uncultured Alistipes sp.	538949	S	156	9	165	0.00002
Alistipes dispar	2585119	S	122	10	132	0.00002
Alistipes ihumii	1470347	S	121	0	121	0.00002
Alistipes indistinctus	626932	S	107	3	110	0.00001
uncultured Acetobacteroides sp.	1760811	S	31	0	31	0.00000
Dysgonomonas capnocytophagoides	45254	S	3642	122	3764	0.00048
Dysgonomonas sp. HDW5A	2714926	S	15	9	24	0.00000
Petrimonas mucosa	1642646	S	175	18	193	0.00002
Sodaliphilus pleomorphus	2606626	S	1658	31	1689	0.00021
Duncaniella dubosii	2518971	S	91	84	175	0.00002
Muribaculum intestinale	1796646	S	78	16	94	0.00001
Muribaculum gordoncarteri	2530390	S	65	38	103	0.00001
Paramuribaculum intestinale	2094151	S	114	24	138	0.00002
Coprobacter fastidiosus	1099853	S	443	10	453	0.00006
Coprobacter secundus	1501392	S	49	4	53	0.00001
Barnesiella sp. An22	1965590	S	307	40	347	0.00004
Barnesiella viscericola	397865	S	53	7	60	0.00001
Porphyromonas gingivalis	837	S	80	23	103	0.00001
Porphyromonas asaccharolytica	28123	S	68	17	85	0.00001
Porphyromonas somerae	322095	S	46	13	59	0.00001
Porphyromonas crevioricanis	393921	S	32	7	39	0.00000
Porphyromonas endodontalis	28124	S	27	4	31	0.00000
Porphyromonas cangingivalis	36874	S	20	9	29	0.00000
Porphyromonas sp. oral taxon 275	712435	S	16	0	16	0.00000
Porphyromonas pogonae	867595	S	10	0	10	0.00000
uncultured Macellibacteroides sp.	1243007	S	11	0	11	0.00000
Salinivirga cyanobacteriivorans	1307839	S	10	0	10	0.00000
uncultured Draconibacterium sp.	1573823	S	33	32	65	0.00001
Aquipluma nitroreducens	2010828	S	21	0	21	0.00000
Flavobacterium sp. 140616W15	2478552	S	14	25	39	0.00000
Flavobacterium sp. CECT 9288	2845819	S	10	46	56	0.00001
Capnocytophaga gingivalis	1017	S	27	21	48	0.00001
Capnocytophaga sp. FDAARGOS_737	2545799	S	12	72	84	0.00001
Capnocytophaga canimorsus	28188	S	10	10	20	0.00000
Polaribacter pectinis	2738844	S	11	10	21	0.00000
Maribacter halichondriae	2980554	S	34	4	38	0.00000
Myroides profundi	480520	S	23	14	37	0.00000
Myroides sp. JBRI-B21084	3119977	S	10	53	63	0.00001
Flagellimonas lutaonensis	516051	S	10	15	25	0.00000
Cellulophaga lytica	979	S	10	12	22	0.00000
Euzebyella marina	1761453	S	11	30	41	0.00001
Changchengzhania lutea	2049305	S	10	4	14	0.00000
Chryseobacterium arthrosphaerae	651561	S	10	51	61	0.00001
Elizabethkingia sp. JS20170427COW	2583851	S	13	73	86	0.00001
Hymenobacter sp. APR13	1356852	S	10	100	110	0.00001
Hymenobacter sp. DG01	2584940	S	10	10	20	0.00000
Hymenobacter baengnokdamensis	2615203	S	11	59	70	0.00001
Pontibacter actiniarum	323450	S	19	28	47	0.00001
Pontibacter korlensis	400092	S	13	10	23	0.00000
Rufibacter radiotolerans	1379910	S	12	11	23	0.00000
Spirosoma sp. SC4-14	3128900	S	11	2	13	0.00000
Spirosoma aureum	2692134	S	12	4	16	0.00000
Fibrella aestuarina	651143	S	21	5	26	0.00000
Aquirufa nivalisilvae	2516557	S	13	11	24	0.00000
Fulvitalea axinellae	1182444	S	10	4	14	0.00000
Emticicia sp. 21SJ11W-3	2916755	S	11	1	12	0.00000
Mucilaginibacter sp. SJ	3029053	S	14	21	35	0.00000
Mucilaginibacter jinjuensis	1176721	S	34	3	37	0.00000
Mucilaginibacter mali	2740462	S	11	0	11	0.00000
Sphingobacterium spiritivorum	258	S	22	15	37	0.00000
Olivibacter sp. LS-1	2592345	S	30	2	32	0.00000
Anseongella ginsenosidimutans	496056	S	18	0	18	0.00000
Chitinophaga pollutisoli	3133966	S	11	21	32	0.00000
Filimonas lacunae	477680	S	55	3	58	0.00001
Faecalibacterium prausnitzii	853	S	363901	349052	712953	0.09047
Faecalibacterium sp. I4-1-79	2929494	S	75318	78569	153887	0.01953
Faecalibacterium sp. I3-3-33	2929492	S	23864	17350	41214	0.00523
Faecalibacterium sp. I4-3-84	2929495	S	11577	28660	40237	0.00511
Faecalibacterium sp. IP-3-29	2929489	S	10576	32414	42990	0.00546
Faecalibacterium sp. IP-1-18	2929488	S	9691	84738	94429	0.01198
Faecalibacterium sp. I2-3-92	2929490	S	7305	24288	31593	0.00401
Faecalibacterium sp. HTF-F	2929491	S	5852	6864	12716	0.00161
Faecalibacterium sp. I3-3-89	2929493	S	5728	2835	8563	0.00109
Faecalibacterium duncaniae	411483	S	30647	87190	117837	0.01495
Faecalibacterium taiwanense	3030638	S	30119	110941	141060	0.01790
Flavonifractor plautii	292800	S	12551	513	13064	0.00166
Oscillibacter hominis	2763056	S	6323	301	6624	0.00084
Oscillibacter sp. PEA192	2109687	S	864	3321	4185	0.00053
Ruminococcus sp. SR1/5	657323	S	1247	2577	3824	0.00049
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	198	7	205	0.00003
Ruminococcus champanellensis	1161942	S	97	1	98	0.00001
Ruminococcus albus	1264	S	26	0	26	0.00000
Ruminococcus gauvreauii	438033	S	22	1	23	0.00000
Ruminococcus bovis	2564099	S	11	0	11	0.00000
Vescimonas coprocola	2714355	S	695	221	916	0.00012
Vescimonas fastidiosa	2714353	S	313	93	406	0.00005
Lawsonibacter asaccharolyticus	2108523	S	1067	46	1113	0.00014
Ruthenibacterium lactatiformans	1550024	S	919	36	955	0.00012
Subdoligranulum variabile	214851	S	328	155	483	0.00006
uncultured Subdoligranulum sp.	512298	S	216	107	323	0.00004
Dysosmobacter welbionis	2093857	S	597	2151	2748	0.00035
Anaerotruncus colihominis	169435	S	452	46	498	0.00006
Pusillibacter faecalis	2714358	S	409	31	440	0.00006
Solibaculum mannosilyticum	2780922	S	133	14	147	0.00002
Caproicibacterium argilliputei	3030016	S	101	9	110	0.00001
Clostridium sp. M62/1	411486	S	2401	497	2898	0.00037
Clostridium sp. SY8519	1042156	S	457	11	468	0.00006
Clostridium sp. C1	1155388	S	39	4	43	0.00001
Clostridium sp. MD294	97138	S	33	0	33	0.00000
Clostridium perfringens	1502	S	280	342	622	0.00008
Clostridium botulinum	1491	S	48	18	66	0.00001
Clostridium cadaveris	1529	S	42	1	43	0.00001
Clostridium intestinale	36845	S	13	0	13	0.00000
Clostridium felsineum	36839	S	12	0	12	0.00000
Clostridium estertheticum	238834	S	12	0	12	0.00000
Sarcina sp. JB2	2726954	S	11	1	12	0.00000
Intestinimonas butyriciproducens	1297617	S	773	71	844	0.00011
Massilistercora timonensis	2086584	S	243	35	278	0.00004
Flintibacter sp. KGMB00164	2610895	S	122	22	144	0.00002
Proteiniborus sp. MB09-C3	3050072	S	19	0	19	0.00000
