name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	3860286	192523	4052809	0.56271
Segatella hominis	2518605	S	21723	3319	25042	0.00348
Segatella bryantii	77095	S	2032	4347	6379	0.00089
Segatella baroniae	305719	S	51	213	264	0.00004
Segatella oris	28135	S	13	0	13	0.00000
Prevotella dentalis	52227	S	645	141	786	0.00011
Prevotella jejuni	1177574	S	413	403	816	0.00011
Prevotella intermedia	28131	S	383	272	655	0.00009
Prevotella corporis	28128	S	176	30	206	0.00003
Prevotella sp. E2-28	2913620	S	40	6	46	0.00001
Prevotella sp. E15-22	2937774	S	20	3	23	0.00000
Prevotella sp. Rep29	2691580	S	19	0	19	0.00000
Prevotella sp. oral taxon 475	712471	S	15	1	16	0.00000
Prevotella sp. E9-3	2913621	S	13	1	14	0.00000
Prevotella sp. oral taxon 299	652716	S	12	2	14	0.00000
Prevotella melaninogenica	28132	S	63	38	101	0.00001
Prevotella communis	2913614	S	29	3	32	0.00000
Prevotella fusca	589436	S	27	13	40	0.00001
Prevotella nigrescens	28133	S	25	30	55	0.00001
Prevotella multiformis	282402	S	20	23	43	0.00001
Prevotella histicola	470565	S	17	5	22	0.00000
Prevotella scopos	589437	S	16	18	34	0.00000
Prevotella herbatica	2801997	S	16	0	16	0.00000
Prevotella bivia	28125	S	15	3	18	0.00000
Paraprevotella xylaniphila	454155	S	435	53	488	0.00007
Paraprevotella clara	454154	S	43	2	45	0.00001
Hoylesella buccalis	28127	S	31	2	33	0.00000
Hoylesella enoeca	76123	S	29	3	32	0.00000
Xylanibacter ruminicola	839	S	34	0	34	0.00000
Pseudoprevotella muciniphila	2133944	S	21	0	21	0.00000
Bacteroides faecis	674529	S	81166	22218	103384	0.01435
Bacteroides caccae	47678	S	50604	7330	57934	0.00804
Bacteroides fragilis	817	S	48370	63883	112253	0.01559
Bacteroides uniformis	820	S	47440	44947	92387	0.01283
Bacteroides thetaiotaomicron	818	S	46918	8628	55546	0.00771
Bacteroides cellulosilyticus	246787	S	27622	15521	43143	0.00599
Bacteroides ovatus	28116	S	9176	20214	29390	0.00408
Bacteroides nordii	291645	S	8940	460	9400	0.00131
Bacteroides eggerthii	28111	S	8718	1960	10678	0.00148
