name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	1623801	236698	1860499	0.09267
Bacteroides uniformis	820	S	1222800	1108429	2331229	0.11611
Bacteroides xylanisolvens	371601	S	407720	521360	929080	0.04628
Bacteroides salyersiae	291644	S	308408	20223	328631	0.01637
Bacteroides caccae	47678	S	170316	31618	201934	0.01006
Bacteroides cellulosilyticus	246787	S	167331	90319	257650	0.01283
Bacteroides fragilis	817	S	116187	103851	220038	0.01096
Bacteroides thetaiotaomicron	818	S	98135	16471	114606	0.00571
Bacteroides ovatus	28116	S	58262	130704	188966	0.00941
Bacteroides sp. A1C1	2528203	S	11080	61888	72968	0.00363
Bacteroides sp. CACC 737	2755405	S	7991	33365	41356	0.00206
Bacteroides sp. DH3716P	2847299	S	7610	69153	76763	0.00382
Bacteroides sp. MSB163	3117552	S	5888	1637	7525	0.00037
Bacteroides sp. HF-162	2785531	S	5605	45900	51505	0.00257
Bacteroides sp. M10	2763022	S	3720	2713	6433	0.00032
Bacteroides sp. D2	556259	S	3222	4331	7553	0.00038
Bacteroides sp. BFG-257	2972761	S	81	5216	5297	0.00026
Bacteroides sp. ZJ-18	2709390	S	59	364	423	0.00002
Bacteroides luhongzhouii	2650158	S	17255	3473	20728	0.00103
Bacteroides humanifaecis	2792859	S	14086	95657	109743	0.00547
Bacteroides caecimuris	1796613	S	10610	2872	13482	0.00067
Bacteroides intestinalis	329854	S	9230	901	10131	0.00050
Bacteroides faecis	674529	S	7040	1784	8824	0.00044
Bacteroides helcogenes	290053	S	5672	83	5755	0.00029
Bacteroides faecium	2715212	S	4714	156	4870	0.00024
Bacteroides eggerthii	28111	S	4389	894	5283	0.00026
Bacteroides zhangwenhongii	2650157	S	3938	2687	6625	0.00033
Bacteroides nordii	291645	S	3417	144	3561	0.00018
Bacteroides finegoldii	338188	S	2801	1418	4219	0.00021
Bacteroides heparinolyticus	28113	S	514	69	583	0.00003
Bacteroides zoogleoformans	28119	S	411	52	463	0.00002
uncultured Bacteroides sp.	162156	S	282	0	282	0.00001
Bacteroides graminisolvens	477666	S	178	0	178	0.00001
Bacteroides sedimenti	2136147	S	50	0	50	0.00000
Phocaeicola vulgatus	821	S	3518702	1423700	4942402	0.24617
Phocaeicola dorei	357276	S	55740	25098	80838	0.00403
Phocaeicola coprophilus	387090	S	489	85	574	0.00003
Phocaeicola salanitronis	376805	S	221	6	227	0.00001
Parabacteroides merdae	46503	S	331272	49666	380938	0.01897
Parabacteroides distasonis	823	S	110182	157177	267359	0.01332
Parabacteroides johnsonii	387661	S	22390	1633	24023	0.00120
Parabacteroides goldsteinii	328812	S	8661	602	9263	0.00046
Parabacteroides chongii	2685834	S	3137	115	3252	0.00016
Parabacteroides faecis	1217282	S	2378	81	2459	0.00012
Parabacteroides sp. AD58	2951805	S	174	10	184	0.00001
Parabacteroides sp. CT06	2025876	S	141	1592	1733	0.00009
Tannerella serpentiformis	712710	S	41	0	41	0.00000
Tannerella forsythia	28112	S	21	0	21	0.00000
Alistipes onderdonkii	328813	S	239102	65509	304611	0.01517
Alistipes communis	2585118	S	93535	9356	102891	0.00512
Alistipes shahii	328814	S	24368	11936	36304	0.00181
Alistipes sp. dk3624	2662363	S	7560	415	7975	0.00040
Alistipes finegoldii	214856	S	5810	2927	8737	0.00044
Alistipes senegalensis	1288121	S	4646	892	5538	0.00028
uncultured Alistipes sp.	538949	S	3734	249	3983	0.00020
Alistipes dispar	2585119	S	1937	170	2107	0.00010
Alistipes megaguti	2364787	S	1107	123	1230	0.00006
Alistipes indistinctus	626932	S	519	22	541	0.00003
Alistipes ihumii	1470347	S	419	10	429	0.00002
uncultured Acetobacteroides sp.	1760811	S	12	0	12	0.00000
Paraprevotella xylaniphila	454155	S	9540	905	10445	0.00052
Paraprevotella clara	454154	S	390	22	412	0.00002
Prevotella melaninogenica	28132	S	748	200	948	0.00005
Prevotella corporis	28128	S	539	109	648	0.00003
Prevotella nigrescens	28133	S	327	153	480	0.00002
Prevotella denticola	28129	S	162	58	220	0.00001
Prevotella intermedia	28131	S	130	48	178	0.00001
Prevotella sp. Rep29	2691580	S	26	1	27	0.00000
Prevotella sp. E9-3	2913621	S	11	2	13	0.00000
Prevotella sp. E15-22	2937774	S	11	2	13	0.00000
Prevotella multiformis	282402	S	15	6	21	0.00000
Prevotella fusca	589436	S	12	2	14	0.00000
Segatella copri	165179	S	1323	85	1408	0.00007
Segatella bryantii	77095	S	49	91	140	0.00001
Segatella oris	28135	S	43	14	57	0.00000
Segatella hominis	2518605	S	18	2	20	0.00000
Hoylesella buccalis	28127	S	35	10	45	0.00000
Hoylesella enoeca	76123	S	34	22	56	0.00000
Xylanibacter ruminicola	839	S	30	1	31	0.00000
Pseudoprevotella muciniphila	2133944	S	17	0	17	0.00000
Barnesiella viscericola	397865	S	3606	2023	5629	0.00028
Barnesiella sp. An22	1965590	S	2938	1367	4305	0.00021
Coprobacter fastidiosus	1099853	S	2034	154	2188	0.00011
Coprobacter secundus	1501392	S	216	19	235	0.00001
Butyricimonas faecalis	2093856	S	1016	259	1275	0.00006
Butyricimonas faecihominis	1472416	S	145	22	167	0.00001
Butyricimonas virosa	544645	S	21	1	22	0.00000
Butyricimonas paravirosa	1472417	S	15	3	18	0.00000
Odoribacter splanchnicus	28118	S	667	66	733	0.00004
Muribaculum intestinale	1796646	S	94	15	109	0.00001
Muribaculum gordoncarteri	2530390	S	31	17	48	0.00000
Sodaliphilus pleomorphus	2606626	S	84	1	85	0.00000
Duncaniella dubosii	2518971	S	24	10	34	0.00000
Paramuribaculum intestinale	2094151	S	48	11	59	0.00000
Porphyromonas endodontalis	28124	S	111	9	120	0.00001
Porphyromonas gingivalis	837	S	63	9	72	0.00000
Porphyromonas somerae	322095	S	63	8	71	0.00000
Porphyromonas asaccharolytica	28123	S	22	2	24	0.00000
Porphyromonas sp. oral taxon 275	712435	S	17	0	17	0.00000
Porphyromonas pogonae	867595	S	16	0	16	0.00000
Porphyromonas crevioricanis	393921	S	14	1	15	0.00000
uncultured Macellibacteroides sp.	1243007	S	10	1	11	0.00000
Dysgonomonas capnocytophagoides	45254	S	22	0	22	0.00000
Proteiniphilum propionicum	2829812	S	23	1	24	0.00000
Petrimonas mucosa	1642646	S	18	2	20	0.00000
uncultured Draconibacterium sp.	1573823	S	69	7	76	0.00000
Maribellus comscasis	2681766	S	10	0	10	0.00000
Labilibaculum manganireducens	1940525	S	13	3	16	0.00000
Flavobacterium sp. N3904	2986835	S	15	164	179	0.00001
Cellulophaga sp. HaHaR_3_176	1942464	S	10	111	121	0.00001
Robiginitalea biformata	252307	S	17	26	43	0.00000
Aestuariibaculum sp. YM273	3070659	S	11	138	149	0.00001
Blattabacterium cuenoti	1653831	S	10	89	99	0.00000
Pontibacter korlensis	400092	S	12	83	95	0.00000
Dyadobacter chenwenxiniae	2906456	S	12	54	66	0.00000
Pedobacter schmidteae	2201271	S	12	20	32	0.00000
Chitinophaga sp. HK235	2952571	S	12	12	24	0.00000
Chitinophaga pinensis	79329	S	10	12	22	0.00000
Faecalibacterium prausnitzii	853	S	1346367	1092487	2438854	0.12148
Faecalibacterium sp. HTF-F	2929491	S	45555	45843	91398	0.00455
Faecalibacterium sp. I4-1-79	2929494	S	31574	29609	61183	0.00305
Faecalibacterium sp. IP-1-18	2929488	S	30656	226758	257414	0.01282
Faecalibacterium sp. I3-3-33	2929492	S	30109	19646	49755	0.00248
Faecalibacterium sp. I4-3-84	2929495	S	24580	52744	77324	0.00385
Faecalibacterium sp. I3-3-89	2929493	S	19864	9022	28886	0.00144
Faecalibacterium sp. IP-3-29	2929489	S	12755	33343	46098	0.00230
Faecalibacterium sp. I2-3-92	2929490	S	11547	32825	44372	0.00221
Faecalibacterium taiwanense	3030638	S	67387	211235	278622	0.01388
Faecalibacterium duncaniae	411483	S	23977	59991	83968	0.00418
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	110628	4729	115357	0.00575
Ruminococcus sp. SR1/5	657323	S	3076	11683	14759	0.00074
Ruminococcus champanellensis	1161942	S	1027	11	1038	0.00005
Ruminococcus bovis	2564099	S	342	4	346	0.00002
Ruminococcus gauvreauii	438033	S	206	20	226	0.00001
Ruminococcus albus	1264	S	181	0	181	0.00001
Lawsonibacter asaccharolyticus	2108523	S	55196	3348	58544	0.00292
Flavonifractor plautii	292800	S	47231	2936	50167	0.00250
Vescimonas coprocola	2714355	S	13060	3499	16559	0.00082
Vescimonas fastidiosa	2714353	S	4010	1176	5186	0.00026
Dysosmobacter welbionis	2093857	S	16852	85910	102762	0.00512
Oscillibacter sp. PEA192	2109687	S	6003	32605	38608	0.00192
Oscillibacter hominis	2763056	S	3431	251	3682	0.00018
Anaerotruncus colihominis	169435	S	8114	1204	9318	0.00046
Pusillibacter faecalis	2714358	S	4487	509	4996	0.00025
Subdoligranulum variabile	214851	S	2281	667	2948	0.00015
uncultured Subdoligranulum sp.	512298	S	680	210	890	0.00004
Ruthenibacterium lactatiformans	1550024	S	3127	186	3313	0.00017
Solibaculum mannosilyticum	2780922	S	764	122	886	0.00004
Caproicibacterium argilliputei	3030016	S	191	28	219	0.00001
Caproicibacterium lactatifermentans	2666138	S	47	6	53	0.00000
Caproicibacterium amylolyticum	2766537	S	30	4	34	0.00000
Caproicibacterium sp. BJN0003	2994078	S	30	2	32	0.00000
Ethanoligenens harbinense	253239	S	247	5	252	0.00001
Mageeibacillus indolicus	884684	S	207	17	224	0.00001
Paludicola sp. MB14-C6	3070656	S	47	0	47	0.00000
Petroclostridium sp. X23	3045146	S	39	0	39	0.00000
Acetivibrio thermocellus	1515	S	14	0	14	0.00000
Acetivibrio clariflavus	288965	S	10	0	10	0.00000
Thermoclostridium stercorarium	1510	S	20	2	22	0.00000
Thermocaproicibacter melissae	2966552	S	18	0	18	0.00000
Eubacterium ventriosum	39496	S	43211	6198	49409	0.00246
Eubacterium callanderi	53442	S	649	56	705	0.00004
Eubacterium sp. MSJ-33	2841528	S	547	68	615	0.00003
Eubacterium maltosivorans	2041044	S	425	21	446	0.00002
Eubacterium limosum	1736	S	318	17	335	0.00002
Acetobacterium wieringae	52694	S	10	11	21	0.00000
Intestinimonas butyriciproducens	1297617	S	8116	447	8563	0.00043
Flintibacter sp. KGMB00164	2610895	S	7845	522	8367	0.00042
Massilistercora timonensis	2086584	S	670	142	812	0.00004
Proteiniborus sp. MB09-C3	3050072	S	14	0	14	0.00000
Clostridium sp. M62/1	411486	S	3693	1145	4838	0.00024
Clostridium sp. SY8519	1042156	S	310	11	321	0.00002
Clostridium sp. C1	1155388	S	33	4	37	0.00000
Clostridium sp. MD294	97138	S	26	0	26	0.00000
Clostridium sp. DL-VIII	641107	S	23	6	29	0.00000
Clostridium sp. BJN0001	2930219	S	17	3	20	0.00000
Clostridium sp. BJN0013	3236840	S	16	3	19	0.00000
Clostridium sp. MB40-C1	3070996	S	15	1	16	0.00000
Clostridium sp. JN-1	2483110	S	13	2	15	0.00000
Clostridium sp. JN-9	2507159	S	13	2	15	0.00000
Clostridium sp. BNL1100	755731	S	13	1	14	0.00000
