name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clostridium sp. OS1-26	3070681	S	11	1	12	0.00000
Clostridium perfringens	1502	S	674	2365	3039	0.00015
Clostridium cadaveris	1529	S	466	41	507	0.00003
Clostridium septicum	1504	S	70	13	83	0.00000
Clostridium isatidis	182773	S	65	18	83	0.00000
Clostridium chauvoei	46867	S	65	13	78	0.00000
Clostridium baratii	1561	S	65	11	76	0.00000
Clostridium botulinum	1491	S	62	167	229	0.00001
Clostridium bornimense	1216932	S	62	6	68	0.00000
Clostridium gasigenes	94869	S	54	4	58	0.00000
Clostridium beijerinckii	1520	S	39	105	144	0.00001
Clostridium gelidum	704125	S	37	2	39	0.00000
Clostridium butyricum	1492	S	31	161	192	0.00001
Clostridium estertheticum	238834	S	28	4	32	0.00000
Clostridium saccharobutylicum	169679	S	26	4	30	0.00000
Clostridium tyrobutyricum	1519	S	25	1	26	0.00000
Clostridium thermarum	1716543	S	25	2	27	0.00000
Clostridium felsineum	36839	S	23	1	24	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	22	2	24	0.00000
Clostridium intestinale	36845	S	19	1	20	0.00000
Clostridium tetani	1513	S	16	1	17	0.00000
Clostridium taeniosporum	394958	S	16	2	18	0.00000
Clostridium acetobutylicum	1488	S	15	0	15	0.00000
Clostridium pasteurianum	1501	S	15	0	15	0.00000
Clostridium manihotivorum	2320868	S	13	1	14	0.00000
Clostridium thermosuccinogenes	84032	S	13	0	13	0.00000
Clostridium tagluense	360422	S	12	2	14	0.00000
Clostridium argentinense	29341	S	11	0	11	0.00000
Clostridium kluyveri	1534	S	11	1	12	0.00000
Sarcina sp. JB2	2726954	S	23	10	33	0.00000
Proteiniclasticum sp. QWL-01	3036945	S	18	0	18	0.00000
Hathewaya histolytica	1498	S	14	5	19	0.00000
Oceanirhabdus sp. W0125-5	2999116	S	10	0	10	0.00000
Intestinibacillus sp. NTUH-41-i26	3079303	S	1245	289	1534	0.00008
Agathobaculum sp. NTUH-O15-33	3079302	S	225	16	241	0.00001
Butyricicoccus sp. GAM44	2109686	S	78	0	78	0.00000
Acutalibacter muris	1796620	S	174	3	177	0.00001
Caproiciproducens sp. CPB-2	3030017	S	71	17	88	0.00000
uncultured Caproiciproducens sp.	1738647	S	39	11	50	0.00000
Caproicibacter fermentans	2576756	S	35	1	36	0.00000
Caproicibacter sp. BJN0012	3110227	S	17	103	120	0.00001
Dehalobacter sp. TBBPA1	3235037	S	13	19	32	0.00000
Syntrophobotulus glycolicus	51197	S	10	2	12	0.00000
Aristaeella hokkaidonensis	3046382	S	45	22	67	0.00000
Aristaeella lactis	3046383	S	22	10	32	0.00000
Maliibacterium massiliense	2086585	S	74	3	77	0.00000
Desulforamulus reducens	59610	S	10	6	16	0.00000
Desulfoscipio gibsoniae	102134	S	11	3	14	0.00000
Roseburia intestinalis	166486	S	155872	118854	274726	0.01368
Roseburia hominis	301301	S	120229	34369	154598	0.00770
Roseburia rectibacter	2763062	S	9348	2604	11952	0.00060
Roseburia sp. 831b	1261635	S	3384	288	3672	0.00018
Roseburia sp. 499	1261634	S	1203	99	1302	0.00006
Agathobacter rectalis	39491	S	206957	63895	270852	0.01349
[Ruminococcus] lactaris	46228	S	171699	22029	193728	0.00965
[Ruminococcus] torques	33039	S	10012	3106	13118	0.00065
Mediterraneibacter gnavus	33038	S	8048	3247	11295	0.00056
Blautia wexlerae	418240	S	19665	11278	30943	0.00154
Blautia obeum	40520	S	11700	4918	16618	0.00083
Blautia sp. SC05B48	2479767	S	3457	4913	8370	0.00042
Blautia luti	89014	S	2931	1371	4302	0.00021
Blautia producta	33035	S	985	1814	2799	0.00014
Blautia coccoides	1532	S	968	3362	4330	0.00022
Blautia hydrogenotrophica	53443	S	905	49	954	0.00005
Blautia pseudococcoides	1796616	S	628	42	670	0.00003
Blautia argi	1912897	S	607	135	742	0.00004
Blautia hansenii	1322	S	464	168	632	0.00003
Blautia parvula	2877527	S	322	86	408	0.00002
Blautia liquoris	2779518	S	172	5	177	0.00001
Simiaoa sunii	2763672	S	45752	10094	55846	0.00278
Anaerostipes hadrus	649756	S	41984	6136	48120	0.00240
Anaerostipes caccae	105841	S	92	23	115	0.00001
Anaerostipes sp. PC18	3036926	S	83	27	110	0.00001
Anaerostipes rhamnosivorans	1229621	S	80	11	91	0.00000
Lachnospira eligens	39485	S	18404	1338	19742	0.00098
Dorea longicatena	88431	S	12723	4937	17660	0.00088
Dorea formicigenerans	39486	S	4990	2418	7408	0.00037
Enterocloster bolteae	208479	S	8376	1172	9548	0.00048
Enterocloster asparagiformis	333367	S	4448	103	4551	0.00023
Enterocloster clostridioformis	1531	S	1304	269	1573	0.00008
Coprococcus catus	116085	S	3914	1146	5060	0.00025
Coprococcus comes	410072	S	2809	1227	4036	0.00020
Coprococcus sp. ART55/1	751585	S	1575	1105	2680	0.00013
Coprococcus eutactus	33043	S	1565	1138	2703	0.00013
Anaerobutyricum hallii	39488	S	7390	1470	8860	0.00044
[Clostridium] scindens	29347	S	3939	417	4356	0.00022
[Clostridium] symbiosum	1512	S	972	140	1112	0.00006
Lachnoclostridium phocaeense	1871021	S	644	162	806	0.00004
[Clostridium] hylemonae	89153	S	334	34	368	0.00002
Lachnoclostridium phytofermentans	66219	S	73	1	74	0.00000
Butyrivibrio crossotus	45851	S	5279	1062	6341	0.00032
Butyrivibrio fibrisolvens	831	S	269	39	308	0.00002
Butyrivibrio hungatei	185008	S	127	51	178	0.00001
Butyrivibrio proteoclasticus	43305	S	93	40	133	0.00001
Marvinbryantia formatexigens	168384	S	4284	95	4379	0.00022
Hungatella hathewayi	154046	S	2707	351	3058	0.00015
Wujia chipingensis	2763670	S	1492	361	1853	0.00009
Wansuia hejianensis	2763667	S	979	45	1024	0.00005
Lacrimispora saccharolytica	84030	S	286	107	393	0.00002
Lacrimispora xylanisolvens	384636	S	163	26	189	0.00001
Lacrimispora xylanolytica	29375	S	125	28	153	0.00001
Lacrimispora sphenoides	29370	S	97	38	135	0.00001
Lacrimispora sp. BS-2	3151850	S	74	38	112	0.00001
Claveliimonas bilis	3028070	S	670	64	734	0.00004
Anaerocolumna sp. MB42-C2	3070997	S	133	29	162	0.00001
Anaerocolumna sp. AGMB13020	3081750	S	80	7	87	0.00000
Anaerocolumna sp. AGMB13025	3039116	S	55	3	58	0.00000
Anaerocolumna chitinilytica	1727145	S	68	5	73	0.00000
Anaerocolumna cellulosilytica	433286	S	60	5	65	0.00000
Anaerocolumna sedimenticola	2696063	S	58	17	75	0.00000
Kineothrix sp. MB12-C1	3070215	S	279	17	296	0.00001
Kineothrix sp. IPX-CK	3123317	S	169	11	180	0.00001
Sellimonas intestinalis	1653434	S	440	30	470	0.00002
Lachnoanaerobaculum gingivalis	2490855	S	159	47	206	0.00001
Lachnoanaerobaculum umeaense	617123	S	59	17	76	0.00000
Qiania dongpingensis	2763669	S	272	17	289	0.00001
Pseudobutyrivibrio xylanivorans	185007	S	206	2	208	0.00001
Novisyntrophococcus fermenticellae	2068655	S	154	6	160	0.00001
Chordicoccus furentiruminis	2709410	S	100	2	102	0.00001
Stomatobaculum sp. F0698	3059030	S	99	1	100	0.00000
Anaeromicropila herbilytica	2785025	S	85	0	85	0.00000
Herbinix luporum	1679721	S	48	6	54	0.00000
Chakrabartyella piscis	2918914	S	29	1	30	0.00000
Sporofaciens musculi	2681861	S	13	0	13	0.00000
Anaeropeptidivorans aminofermentans	2934315	S	12	0	12	0.00000
Anaerotignum propionicum	28446	S	56	40	96	0.00000
Anaerotignum sp. MB30-C6	3070814	S	30	22	52	0.00000
Petrocella atlantisensis	2173034	S	31	0	31	0.00000
Vallitalea pronyensis	1348613	S	13	0	13	0.00000
Clostridioides difficile	1496	S	8698	2107	10805	0.00054
Romboutsia ilealis	1115758	S	1700	370	2070	0.00010
Romboutsia sp. 13368	2708053	S	341	90	431	0.00002
Romboutsia sp. CE17	2724150	S	101	15	116	0.00001
Romboutsia hominis	1507512	S	45	4	49	0.00000
Intestinibacter bartlettii	261299	S	153	10	163	0.00001
Paraclostridium sordellii	1505	S	47	6	53	0.00000
Paraclostridium ghonii	29358	S	11	2	13	0.00000
Paraclostridium bifermentans	1490	S	10	2	12	0.00000
Terrisporobacter petrolearius	1460447	S	16	17	33	0.00000
Terrisporobacter mayombei	1541	S	11	3	14	0.00000
Emergencia sp. JLR.KK010	3114296	S	777	46	823	0.00004
Emergencia timonensis	1776384	S	153	10	163	0.00001
Aminipila luticellarii	2507160	S	26	3	29	0.00000
Aminipila terrae	2697030	S	18	2	20	0.00000
Aminipila butyrica	433296	S	11	1	12	0.00000
Mogibacterium pumilum	86332	S	22	3	25	0.00000
Filifactor alocis	143361	S	42	5	47	0.00000
Alkaliphilus metalliredigens	208226	S	10	0	10	0.00000
Christensenella massiliensis	1805714	S	368	32	400	0.00002
Christensenella minuta	626937	S	148	8	156	0.00001
Monoglobus pectinilyticus	1981510	S	158	9	167	0.00001
Gelria sp. Kuro-4	2796927	S	11	1	12	0.00000
Moorella humiferrea	676965	S	11	4	15	0.00000
Dialister massiliensis	2161821	S	18867	73014	91881	0.00458
Dialister hominis	2582419	S	18630	67847	86477	0.00431
Dialister succinatiphilus	487173	S	873	21	894	0.00004
Dialister pneumosintes	39950	S	14	0	14	0.00000
Veillonella nakazawae	2682456	S	116	108	224	0.00001
Veillonella atypica	39777	S	104	6	110	0.00001
Veillonella dispar	39778	S	78	35	113	0.00001
Veillonella sp. S12025-13	2682455	S	65	52	117	0.00001
Veillonella rodentium	248315	S	43	1	44	0.00000
Veillonella parvula	29466	S	41	3	44	0.00000
Veillonella rogosae	423477	S	34	6	40	0.00000
Megasphaera stantonii	2144175	S	345	18	363	0.00002
Megasphaera elsdenii	907	S	13	1	14	0.00000
Megasphaera hexanoica	1675036	S	13	1	14	0.00000
Acidaminococcus intestini	187327	S	29605	1053	30658	0.00153
Acidaminococcus fermentans	905	S	68	0	68	0.00000
Phascolarctobacterium faecium	33025	S	3118	13	3131	0.00016
Phascolarctobacterium succinatutens	626940	S	252	47	299	0.00001
Phascolarctobacterium sp. Marseille-Q4147	2823317	S	53	5	58	0.00000
Selenomonas sp. TAMA-11512	3095337	S	15	11	26	0.00000
Selenomonas sputigena	69823	S	28	4	32	0.00000
Selenomonas dianae	135079	S	15	7	22	0.00000
Selenomonas timonae	2754044	S	15	22	37	0.00000
Selenomonas ruminantium	971	S	12	1	13	0.00000
Megamonas hypermegale	158847	S	18	4	22	0.00000
Levilactobacillus brevis	1580	S	2863	240	3103	0.00015
Ligilactobacillus ruminis	1623	S	819	32	851	0.00004
Ligilactobacillus murinus	1622	S	229	8	237	0.00001
Ligilactobacillus salivarius	1624	S	13	1	14	0.00000
Lactobacillus delbrueckii	1584	S	30	12	42	0.00000
Lactobacillus crispatus	47770	S	10	8	18	0.00000
Lacticaseibacillus paracasei	1597	S	15	3	18	0.00000
Lactiplantibacillus plantarum	1590	S	12	6	18	0.00000
Streptococcus pneumoniae	1313	S	1503	222	1725	0.00009
Streptococcus suis	1307	S	905	278	1183	0.00006
Streptococcus sp. ZY19097	3231906	S	37	3	40	0.00000
Streptococcus sp. A12	1759399	S	12	2	14	0.00000
Streptococcus sp. S5	3098076	S	10	11	21	0.00000
Streptococcus sp. LPB0220	2610896	S	10	10	20	0.00000
Streptococcus thermophilus	1308	S	131	16	147	0.00001
Streptococcus agalactiae	1311	S	109	276	385	0.00002
Streptococcus pasteurianus	197614	S	81	174	255	0.00001
Streptococcus parasanguinis	1318	S	64	10	74	0.00000
Streptococcus lutetiensis	150055	S	58	11	69	0.00000
Streptococcus parasuis	1501662	S	43	7	50	0.00000
Streptococcus anginosus	1328	S	36	14	50	0.00000
Streptococcus equi	1336	S	31	1	32	0.00000
Streptococcus oralis	1303	S	17	3	20	0.00000
Streptococcus salivarius	1304	S	17	6	23	0.00000
Streptococcus ilei	1156431	S	15	4	19	0.00000
Streptococcus acidominimus	1326	S	13	0	13	0.00000
Streptococcus canis	1329	S	10	1	11	0.00000
Lactococcus lactis	1358	S	70	16	86	0.00000
Lactococcus petauri	1940789	S	55	47	102	0.00001
Lactococcus cremoris	1359	S	19	45	64	0.00000
Enterococcus faecium	1352	S	1005	871	1876	0.00009
Enterococcus faecalis	1351	S	247	85	332	0.00002
Enterococcus cecorum	44008	S	51	4	55	0.00000
Enterococcus saigonensis	1805431	S	41	25	66	0.00000
Granulicatella adiacens	46124	S	20	1	21	0.00000
Granulicatella elegans	137732	S	14	4	18	0.00000
uncultured Trichococcus sp.	189665	S	10	14	24	0.00000
Paenibacillus sp. SI8	3163026	S	20	24	44	0.00000
Paenibacillus sp. FSL K6-2441	2954679	S	19	178	197	0.00001
Paenibacillus macerans	44252	S	21	55	76	0.00000
Paenibacillus silvisoli	3110539	S	15	47	62	0.00000
Paenibacillus aurantius	2918900	S	10	13	23	0.00000
Paenibacillus durus	44251	S	10	150	160	0.00001
Brevibacillus brevis	1393	S	11	46	57	0.00000
Cohnella sp. LGH	1619153	S	10	55	65	0.00000
Thermobacillus composti	377615	S	15	23	38	0.00000
Bacillus sp. FJAT-18017	1705566	S	10	42	52	0.00000
Bacillus pseudomycoides	64104	S	12	135	147	0.00001
Priestia megaterium	1404	S	14	148	162	0.00001
Rossellomorea marisflavi	189381	S	15	68	83	0.00000
Niallia circulans	1397	S	11	66	77	0.00000
Staphylococcus aureus	1280	S	20	455	475	0.00002
Staphylococcus epidermidis	1282	S	14	66	80	0.00000
Mammaliicoccus sciuri	1296	S	15	17	32	0.00000
Kurthia sp. YJT4	3049086	S	10	318	328	0.00002
Alicyclobacillus acidocaldarius	405212	S	12	2	14	0.00000
Tumebacillus avium	1903704	S	13	49	62	0.00000
Faecalibacillus intestinalis	1982626	S	2078	203	2281	0.00011
Thomasclavelia ramosa	1547	S	1204	70	1274	0.00006
Thomasclavelia spiroformis	29348	S	224	11	235	0.00001
Erysipelatoclostridium sp. An173	1965571	S	223	8	231	0.00001
Catenibacterium mitsuokai	100886	S	124	75	199	0.00001
Catenibacterium sp. co_0103	2478954	S	75	54	129	0.00001
Intestinibaculum porci	2487118	S	1407	39	1446	0.00007
Amedibacterium intestinale	2583452	S	289	53	342	0.00002
Longicatena caecimuris	1796635	S	238	52	290	0.00001
Faecalibaculum rodentium	1702221	S	75	2	77	0.00000
Solobacterium moorei	102148	S	47	10	57	0.00000
Allocoprobacillus halotolerans	2944914	S	42	4	46	0.00000
Allobaculum mucilyticum	2834459	S	17	1	18	0.00000
Allobaculum sp. Allo2	2853432	S	13	0	13	0.00000
Turicibacter bilis	2735723	S	71	190	261	0.00001
Peptoniphilus equinus	3016343	S	37	7	44	0.00000
Finegoldia magna	1260	S	18	5	23	0.00000
Parvimonas micra	33033	S	11	1	12	0.00000
Tissierella sp. MB52-C2	3070999	S	12	2	14	0.00000
Ezakiella coagulans	46507	S	20	6	26	0.00000
Bifidobacterium longum	216816	S	4598	2907	7505	0.00037
Bifidobacterium adolescentis	1680	S	759	492	1251	0.00006
Bifidobacterium pseudocatenulatum	28026	S	605	93	698	0.00003
Bifidobacterium breve	1685	S	271	111	382	0.00002
Bifidobacterium catenulatum	1686	S	86	16	102	0.00001
Bifidobacterium bifidum	1681	S	63	120	183	0.00001
Bifidobacterium sp. ESL0790	2983233	S	16	10	26	0.00000
Bifidobacterium animalis	28025	S	34	819	853	0.00004
Bifidobacterium faecale	1454229	S	29	68	97	0.00000
Bifidobacterium angulatum	1683	S	12	2	14	0.00000
Bifidobacterium dentium	1689	S	10	0	10	0.00000
Clavibacter michiganensis	28447	S	11	81	92	0.00000
Rothia mucilaginosa	43675	S	29	65	94	0.00000
Corynebacterium incognita	2754725	S	16	119	135	0.00001
Cutibacterium acnes	1747	S	145	34	179	0.00001
Cutibacterium modestum	2559073	S	13	5	18	0.00000
Vaginimicrobium propionicum	1871034	S	24	26	50	0.00000
Schaalia turicensis	131111	S	11	19	30	0.00000
Collinsella aerofaciens	74426	S	1295	535	1830	0.00009
Collinsella stercoris	147206	S	33	1	34	0.00000
Enorma phocaeensis	1871019	S	22	5	27	0.00000
Fannyhessea vaginae	82135	S	127	19	146	0.00001
Olsenella timonensis	1805478	S	30	16	46	0.00000
Olsenella sp. oral taxon 807	712411	S	10	1	11	0.00000
Parolsenella massiliensis	1871022	S	18	13	31	0.00000
Parolsenella catena	2003188	S	12	15	27	0.00000
Thermophilibacter mediterraneus	1871031	S	15	12	27	0.00000
Lancefieldella sp. Marseille-Q7238	3022127	S	13	0	13	0.00000
Parafannyhessea umbonata	604330	S	10	4	14	0.00000
