name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	1174146	329166	1503312	0.12182
Bacteroides uniformis	820	S	451772	562642	1014414	0.08221
Bacteroides caccae	47678	S	356161	78242	434403	0.03520
Bacteroides salyersiae	291644	S	304673	36690	341363	0.02766
Bacteroides xylanisolvens	371601	S	228555	404336	632891	0.05129
Bacteroides finegoldii	338188	S	183744	122626	306370	0.02483
Bacteroides intestinalis	329854	S	182077	22147	204224	0.01655
Bacteroides thetaiotaomicron	818	S	177976	45918	223894	0.01814
Bacteroides cellulosilyticus	246787	S	87161	58777	145938	0.01183
Bacteroides fragilis	817	S	71181	169057	240238	0.01947
Bacteroides ovatus	28116	S	63756	158893	222649	0.01804
Bacteroides sp. HF-162	2785531	S	20454	202936	223390	0.01810
Bacteroides sp. MSB163	3117552	S	8048	2767	10815	0.00088
Bacteroides sp. A1C1	2528203	S	7276	47044	54320	0.00440
Bacteroides sp. M10	2763022	S	2968	2310	5278	0.00043
Bacteroides sp. D2	556259	S	2307	3232	5539	0.00045
Bacteroides sp. DH3716P	2847299	S	1509	16454	17963	0.00146
Bacteroides sp. CACC 737	2755405	S	1393	6751	8144	0.00066
Bacteroides sp. BFG-637	2972764	S	72	3311	3383	0.00027
Bacteroides sp. BFG-257	2972761	S	56	4160	4216	0.00034
Bacteroides sp. ZJ-18	2709390	S	50	349	399	0.00003
Bacteroides eggerthii	28111	S	45704	17314	63018	0.00511
Bacteroides faecis	674529	S	12694	4900	17594	0.00143
Bacteroides zhangwenhongii	2650157	S	10077	9142	19219	0.00156
Bacteroides faecium	2715212	S	3983	157	4140	0.00034
Bacteroides luhongzhouii	2650158	S	3148	752	3900	0.00032
Bacteroides humanifaecis	2792859	S	2777	22632	25409	0.00206
Bacteroides caecimuris	1796613	S	1477	591	2068	0.00017
Bacteroides nordii	291645	S	1394	110	1504	0.00012
Bacteroides helcogenes	290053	S	623	14	637	0.00005
uncultured Bacteroides sp.	162156	S	301	1	302	0.00002
Bacteroides zoogleoformans	28119	S	237	44	281	0.00002
Bacteroides heparinolyticus	28113	S	235	45	280	0.00002
Bacteroides graminisolvens	477666	S	211	0	211	0.00002
Bacteroides sedimenti	2136147	S	23	0	23	0.00000
Phocaeicola vulgatus	821	S	2407634	1457746	3865380	0.31324
Phocaeicola dorei	357276	S	82170	60680	142850	0.01158
Phocaeicola coprophilus	387090	S	5678	1935	7613	0.00062
Phocaeicola salanitronis	376805	S	3803	229	4032	0.00033
Alistipes onderdonkii	328813	S	272235	63259	335494	0.02719
Alistipes shahii	328814	S	52950	19508	72458	0.00587
Alistipes communis	2585118	S	18462	2225	20687	0.00168
Alistipes finegoldii	214856	S	15833	6925	22758	0.00184
Alistipes senegalensis	1288121	S	8278	974	9252	0.00075
Alistipes ihumii	1470347	S	2663	67	2730	0.00022
uncultured Alistipes sp.	538949	S	2552	164	2716	0.00022
Alistipes dispar	2585119	S	1683	220	1903	0.00015
Alistipes megaguti	2364787	S	877	128	1005	0.00008
Alistipes indistinctus	626932	S	365	25	390	0.00003
Alistipes sp. dk3624	2662363	S	258	22	280	0.00002
Parabacteroides merdae	46503	S	102149	36342	138491	0.01122
Parabacteroides distasonis	823	S	87790	152418	240208	0.01947
Parabacteroides goldsteinii	328812	S	4405	609	5014	0.00041
Parabacteroides johnsonii	387661	S	1967	298	2265	0.00018
Parabacteroides chongii	2685834	S	780	83	863	0.00007
Parabacteroides sp. AD58	2951805	S	400	45	445	0.00004
Parabacteroides sp. CT06	2025876	S	39	1901	1940	0.00016
Parabacteroides faecis	1217282	S	187	17	204	0.00002
Tannerella forsythia	28112	S	57	19	76	0.00001
Tannerella serpentiformis	712710	S	46	0	46	0.00000
Odoribacter splanchnicus	28118	S	154173	17976	172149	0.01395
Butyricimonas faecalis	2093856	S	4460	2008	6468	0.00052
Butyricimonas paravirosa	1472417	S	358	102	460	0.00004
Butyricimonas virosa	544645	S	337	22	359	0.00003
Butyricimonas faecihominis	1472416	S	216	35	251	0.00002
Segatella copri	165179	S	4351	980	5331	0.00043
Segatella hominis	2518605	S	58	32	90	0.00001
Segatella oris	28135	S	17	23	40	0.00000
Segatella bryantii	77095	S	17	116	133	0.00001
Paraprevotella clara	454154	S	1098	188	1286	0.00010
Paraprevotella xylaniphila	454155	S	866	166	1032	0.00008
Prevotella jejuni	1177574	S	1133	428	1561	0.00013
