name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Elizabethkingia anophelis	1117645	S	18	35	53	0.00000
Hymenobacter yonginensis	748197	S	13	108	121	0.00001
Hymenobacter jejuensis	2502781	S	11	18	29	0.00000
Echinicola soli	2591634	S	12	35	47	0.00000
Sphingobacterium sp. ML3W	1538644	S	13	39	52	0.00000
Pedobacter ginsengisoli	363852	S	10	13	23	0.00000
Chitinophaga oryzae	2725414	S	13	15	28	0.00000
Arachidicoccus soli	2341117	S	11	1	12	0.00000
Ferruginibacter albus	2875540	S	14	1	15	0.00000
Rhodothermus marinus	29549	S	11	0	11	0.00000
Faecalibacterium prausnitzii	853	S	86693	101472	188165	0.01519
Faecalibacterium sp. I3-3-89	2929493	S	27040	15960	43000	0.00347
Faecalibacterium sp. IP-1-18	2929488	S	11351	120528	131879	0.01064
Faecalibacterium sp. IP-3-29	2929489	S	11122	38728	49850	0.00402
Faecalibacterium sp. I2-3-92	2929490	S	9720	36202	45922	0.00371
Faecalibacterium sp. I4-1-79	2929494	S	4139	4749	8888	0.00072
Faecalibacterium sp. I3-3-33	2929492	S	3961	3100	7061	0.00057
Faecalibacterium sp. I4-3-84	2929495	S	3093	9010	12103	0.00098
Faecalibacterium sp. HTF-F	2929491	S	1422	2018	3440	0.00028
Faecalibacterium duncaniae	411483	S	21703	78899	100602	0.00812
Faecalibacterium taiwanense	3030638	S	4164	19218	23382	0.00189
Lawsonibacter asaccharolyticus	2108523	S	32001	1531	33532	0.00271
Flavonifractor plautii	292800	S	31817	2097	33914	0.00274
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	24224	1122	25346	0.00205
Ruminococcus sp. SR1/5	657323	S	1379	5712	7091	0.00057
Ruminococcus albus	1264	S	92	0	92	0.00001
Ruminococcus champanellensis	1161942	S	91	0	91	0.00001
Ruminococcus gauvreauii	438033	S	89	11	100	0.00001
Ruminococcus bovis	2564099	S	45	0	45	0.00000
Pusillibacter faecalis	2714358	S	11238	1470	12708	0.00103
Vescimonas coprocola	2714355	S	7851	2055	9906	0.00080
Vescimonas fastidiosa	2714353	S	1157	365	1522	0.00012
Oscillibacter sp. PEA192	2109687	S	5711	22283	27994	0.00226
Oscillibacter hominis	2763056	S	1521	117	1638	0.00013
Ruthenibacterium lactatiformans	1550024	S	6921	447	7368	0.00059
Anaerotruncus colihominis	169435	S	3694	509	4203	0.00034
Dysosmobacter welbionis	2093857	S	3100	11436	14536	0.00117
Subdoligranulum variabile	214851	S	612	200	812	0.00007
uncultured Subdoligranulum sp.	512298	S	200	69	269	0.00002
Solibaculum mannosilyticum	2780922	S	386	64	450	0.00004
Caproicibacterium argilliputei	3030016	S	102	13	115	0.00001
Caproicibacterium sp. BJN0003	2994078	S	14	1	15	0.00000
Ruminiclostridium herbifermentans	2488810	S	14	2	16	0.00000
Ruminiclostridium papyrosolvens	29362	S	12	6	18	0.00000
Amygdalobacter indicium	3029272	S	29	3	32	0.00000
Acetivibrio clariflavus	288965	S	11	1	12	0.00000
Mageeibacillus indolicus	884684	S	19	1	20	0.00000
Ethanoligenens harbinense	253239	S	19	0	19	0.00000
Petroclostridium sp. X23	3045146	S	14	0	14	0.00000
Paludicola sp. MB14-C6	3070656	S	14	0	14	0.00000
Thermocaproicibacter melissae	2966552	S	12	0	12	0.00000
Eubacterium ventriosum	39496	S	13092	2429	15521	0.00125
Eubacterium callanderi	53442	S	610	56	666	0.00005
Eubacterium sp. MSJ-33	2841528	S	189	30	219	0.00002
Eubacterium maltosivorans	2041044	S	150	7	157	0.00001
Eubacterium limosum	1736	S	75	3	78	0.00001
Flintibacter sp. KGMB00164	2610895	S	7021	476	7497	0.00061
Intestinimonas butyriciproducens	1297617	S	3921	225	4146	0.00033
Massilistercora timonensis	2086584	S	354	92	446	0.00004
Clostridium sp. M62/1	411486	S	5136	1922	7058	0.00057
Clostridium sp. C1	1155388	S	961	191	1152	0.00009
Clostridium sp. SY8519	1042156	S	200	8	208	0.00002
Clostridium sp. MD294	97138	S	28	0	28	0.00000
Clostridium sp. BJN0001	2930219	S	11	1	12	0.00000
Clostridium perfringens	1502	S	433	532	965	0.00008
Clostridium cadaveris	1529	S	24	1	25	0.00000
Clostridium botulinum	1491	S	23	9	32	0.00000
Clostridium estertheticum	238834	S	16	0	16	0.00000
Clostridium pasteurianum	1501	S	15	0	15	0.00000
Clostridium butyricum	1492	S	15	26	41	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	12	0	12	0.00000
Clostridium beijerinckii	1520	S	12	12	24	0.00000
Clostridium thermosuccinogenes	84032	S	12	0	12	0.00000
Clostridium intestinale	36845	S	10	0	10	0.00000
Crassaminicella profunda	1286698	S	18	0	18	0.00000
Proteiniclasticum sp. QWL-01	3036945	S	12	0	12	0.00000
Intestinibacillus sp. NTUH-41-i26	3079303	S	944	168	1112	0.00009
Agathobaculum sp. NTUH-O15-33	3079302	S	85	2	87	0.00001
Butyricicoccus sp. GAM44	2109686	S	45	0	45	0.00000
Acutalibacter muris	1796620	S	67	2	69	0.00001
Caproiciproducens sp. CPB-2	3030017	S	22	11	33	0.00000
uncultured Caproiciproducens sp.	1738647	S	17	2	19	0.00000
Caproicibacter fermentans	2576756	S	17	12	29	0.00000
Maliibacterium massiliense	2086585	S	80	3	83	0.00001
Dehalobacter sp. TBBPA1	3235037	S	27	9	36	0.00000
Desulfofundulus kuznetsovii	58135	S	11	0	11	0.00000
Aristaeella lactis	3046383	S	15	1	16	0.00000
Aristaeella hokkaidonensis	3046382	S	13	0	13	0.00000
Agathobacter rectalis	39491	S	148980	44290	193270	0.01560
Roseburia intestinalis	166486	S	84860	61307	146167	0.01180
Roseburia hominis	301301	S	8542	2584	11126	0.00090
Roseburia rectibacter	2763062	S	3059	907	3966	0.00032
Roseburia sp. 831b	1261635	S	1001	76	1077	0.00009
Roseburia sp. 499	1261634	S	533	39	572	0.00005
Simiaoa sunii	2763672	S	58331	13397	71728	0.00579
Lachnospira eligens	39485	S	30721	2951	33672	0.00272
Blautia wexlerae	418240	S	8479	5390	13869	0.00112
Blautia obeum	40520	S	5612	2525	8137	0.00066
Blautia luti	89014	S	1307	673	1980	0.00016
Blautia sp. SC05B48	2479767	S	827	1419	2246	0.00018
Blautia hansenii	1322	S	409	147	556	0.00004
Blautia hydrogenotrophica	53443	S	334	16	350	0.00003
Blautia coccoides	1532	S	302	1134	1436	0.00012
Blautia argi	1912897	S	271	63	334	0.00003
Blautia liquoris	2779518	S	174	5	179	0.00001
Blautia pseudococcoides	1796616	S	170	12	182	0.00001
Blautia producta	33035	S	151	298	449	0.00004
Blautia parvula	2877527	S	142	43	185	0.00001
Anaerostipes hadrus	649756	S	20975	3127	24102	0.00195
Anaerostipes sp. PC18	3036926	S	120	27	147	0.00001
Anaerostipes caccae	105841	S	104	26	130	0.00001
Anaerostipes rhamnosivorans	1229621	S	40	4	44	0.00000
[Ruminococcus] torques	33039	S	10445	3631	14076	0.00114
Mediterraneibacter gnavus	33038	S	2749	863	3612	0.00029
[Ruminococcus] lactaris	46228	S	2727	363	3090	0.00025
Coprococcus comes	410072	S	8155	8321	16476	0.00133
Coprococcus catus	116085	S	1679	449	2128	0.00017
Coprococcus sp. ART55/1	751585	S	699	163	862	0.00007
Coprococcus eutactus	33043	S	591	185	776	0.00006
Dorea longicatena	88431	S	8546	3135	11681	0.00094
Dorea formicigenerans	39486	S	2261	1057	3318	0.00027
Hungatella hathewayi	154046	S	8766	1224	9990	0.00081
Enterocloster bolteae	208479	S	4248	902	5150	0.00042
Enterocloster asparagiformis	333367	S	2390	68	2458	0.00020
Enterocloster clostridioformis	1531	S	1120	378	1498	0.00012
Anaerobutyricum hallii	39488	S	6991	1366	8357	0.00067
[Clostridium] scindens	29347	S	2272	234	2506	0.00020
[Clostridium] symbiosum	1512	S	603	80	683	0.00006
Lachnoclostridium phocaeense	1871021	S	239	57	296	0.00002
[Clostridium] hylemonae	89153	S	132	12	144	0.00001
Lachnoclostridium phytofermentans	66219	S	54	0	54	0.00000
Butyrivibrio crossotus	45851	S	1878	365	2243	0.00018
Butyrivibrio fibrisolvens	831	S	193	19	212	0.00002
Butyrivibrio proteoclasticus	43305	S	102	30	132	0.00001
Butyrivibrio hungatei	185008	S	78	21	99	0.00001
Lacrimispora saccharolytica	84030	S	143	77	220	0.00002
Lacrimispora xylanisolvens	384636	S	93	22	115	0.00001
Lacrimispora xylanolytica	29375	S	89	30	119	0.00001
Lacrimispora sp. BS-2	3151850	S	82	62	144	0.00001
Lacrimispora sphenoides	29370	S	72	42	114	0.00001
Wujia chipingensis	2763670	S	642	175	817	0.00007
Wansuia hejianensis	2763667	S	356	17	373	0.00003
Claveliimonas bilis	3028070	S	336	35	371	0.00003
Anaerocolumna sp. AGMB13020	3081750	S	51	8	59	0.00000
Anaerocolumna sp. AGMB13025	3039116	S	50	10	60	0.00000
Anaerocolumna sp. MB42-C2	3070997	S	41	22	63	0.00001
Anaerocolumna sedimenticola	2696063	S	44	23	67	0.00001
Anaerocolumna cellulosilytica	433286	S	38	6	44	0.00000
Anaerocolumna chitinilytica	1727145	S	33	4	37	0.00000
Marvinbryantia formatexigens	168384	S	252	6	258	0.00002
Qiania dongpingensis	2763669	S	246	17	263	0.00002
Novisyntrophococcus fermenticellae	2068655	S	234	11	245	0.00002
Sellimonas intestinalis	1653434	S	214	17	231	0.00002
Lachnoanaerobaculum gingivalis	2490855	S	122	24	146	0.00001
Lachnoanaerobaculum umeaense	617123	S	41	7	48	0.00000
Pseudobutyrivibrio xylanivorans	185007	S	143	1	144	0.00001
Kineothrix sp. IPX-CK	3123317	S	87	4	91	0.00001
Kineothrix sp. MB12-C1	3070215	S	45	2	47	0.00000
Chordicoccus furentiruminis	2709410	S	109	2	111	0.00001
Anaeromicropila herbilytica	2785025	S	76	0	76	0.00001
Stomatobaculum sp. F0698	3059030	S	57	0	57	0.00000
Chakrabartyella piscis	2918914	S	57	1	58	0.00000
Herbinix luporum	1679721	S	38	5	43	0.00000
Anaeropeptidivorans aminofermentans	2934315	S	17	0	17	0.00000
Anaerotignum propionicum	28446	S	85	76	161	0.00001
Anaerotignum sp. MB30-C6	3070814	S	77	71	148	0.00001
Vallitalea guaymasensis	1185412	S	19	1	20	0.00000
Defluviitalea saccharophila	879970	S	17	3	20	0.00000
Emergencia timonensis	1776384	S	6182	363	6545	0.00053
Emergencia sp. JLR.KK010	3114296	S	48	1	49	0.00000
Mogibacterium diversum	114527	S	16	1	17	0.00000
Aminipila luticellarii	2507160	S	13	1	14	0.00000
Clostridioides difficile	1496	S	2251	234	2485	0.00020
Intestinibacter bartlettii	261299	S	451	29	480	0.00004
Peptacetobacter hiranonis	89152	S	43	1	44	0.00000
Romboutsia ilealis	1115758	S	25	4	29	0.00000
Christensenella massiliensis	1805714	S	258	22	280	0.00002
Christensenella minuta	626937	S	246	14	260	0.00002
Monoglobus pectinilyticus	1981510	S	246	18	264	0.00002
Phascolarctobacterium faecium	33025	S	94858	417	95275	0.00769
Phascolarctobacterium sp. Marseille-Q4147	2823317	S	32	4	36	0.00000
Phascolarctobacterium succinatutens	626940	S	24	5	29	0.00000
Acidaminococcus intestini	187327	S	11	0	11	0.00000
Acidaminococcus fermentans	905	S	10	0	10	0.00000
Veillonella parvula	29466	S	423	33	456	0.00004
Veillonella atypica	39777	S	32	2	34	0.00000
Veillonella rogosae	423477	S	30	5	35	0.00000
Veillonella nakazawae	2682456	S	26	25	51	0.00000
Veillonella dispar	39778	S	17	8	25	0.00000
Megasphaera stantonii	2144175	S	22	3	25	0.00000
Megasphaera massiliensis	1232428	S	10	1	11	0.00000
Dialister succinatiphilus	487173	S	18	10	28	0.00000
Megamonas funiformis	437897	S	341	8	349	0.00003
Megamonas hypermegale	158847	S	10	0	10	0.00000
Selenomonas dianae	135079	S	25	3	28	0.00000
Sporomusa aerivorans	204936	S	12	5	17	0.00000
Enterococcus faecium	1352	S	1009	655	1664	0.00013
Enterococcus sp. FDAARGOS_375	2060307	S	17	18	35	0.00000
Enterococcus cecorum	44008	S	20	1	21	0.00000
Enterococcus casseliflavus	37734	S	16	8	24	0.00000
Enterococcus faecalis	1351	S	14	4	18	0.00000
Enterococcus innesii	2839759	S	11	3	14	0.00000
Streptococcus suis	1307	S	54	43	97	0.00001
Streptococcus parasanguinis	1318	S	44	62	106	0.00001
Streptococcus thermophilus	1308	S	32	29	61	0.00000
Streptococcus canis	1329	S	26	8	34	0.00000
Streptococcus mitis	28037	S	22	25	47	0.00000
Streptococcus gordonii	1302	S	19	3	22	0.00000
Streptococcus salivarius	1304	S	18	51	69	0.00001
Streptococcus sanguinis	1305	S	14	8	22	0.00000
Streptococcus lutetiensis	150055	S	13	19	32	0.00000
Streptococcus pneumoniae	1313	S	12	11	23	0.00000
Lactococcus lactis	1358	S	127	48	175	0.00001
Lactococcus petauri	1940789	S	15	51	66	0.00001
Ligilactobacillus ruminis	1623	S	106	10	116	0.00001
Lactiplantibacillus plantarum	1590	S	42	51	93	0.00001
Granulicatella adiacens	46124	S	16	0	16	0.00000
Granulicatella elegans	137732	S	10	2	12	0.00000
Paenibacillus mucilaginosus	61624	S	24	429	453	0.00004
Paenibacillus macerans	44252	S	13	141	154	0.00001
Alicyclobacillus acidocaldarius	405212	S	10	26	36	0.00000
Faecalibacillus intestinalis	1982626	S	1804	230	2034	0.00016
Thomasclavelia ramosa	1547	S	268	16	284	0.00002
Erysipelatoclostridium sp. An173	1965571	S	208	9	217	0.00002
Thomasclavelia spiroformis	29348	S	155	8	163	0.00001
Catenibacterium sp. co_0103	2478954	S	45	23	68	0.00001
Catenibacterium mitsuokai	100886	S	30	12	42	0.00000
Longicatena caecimuris	1796635	S	360	103	463	0.00004
Amedibacterium intestinale	2583452	S	207	50	257	0.00002
Intestinibaculum porci	2487118	S	38	0	38	0.00000
Allocoprobacillus halotolerans	2944914	S	34	2	36	0.00000
Faecalibaculum rodentium	1702221	S	23	1	24	0.00000
Murdochiella vaginalis	1852373	S	28	6	34	0.00000
Parvimonas micra	33033	S	22	3	25	0.00000
Finegoldia magna	1260	S	12	3	15	0.00000
Bifidobacterium pseudocatenulatum	28026	S	3024	677	3701	0.00030
Bifidobacterium longum	216816	S	1699	1710	3409	0.00028
Bifidobacterium adolescentis	1680	S	269	312	581	0.00005
Bifidobacterium catenulatum	1686	S	143	48	191	0.00002
Bifidobacterium breve	1685	S	46	32	78	0.00001
Bifidobacterium scardovii	158787	S	16	1	17	0.00000
Streptomyces sp. Q6	3118173	S	13	76	89	0.00001
Streptomyces noursei	1971	S	12	144	156	0.00001
Rothia mucilaginosa	43675	S	33	60	93	0.00001
Nocardioides sp. zg-1228	2763008	S	14	50	64	0.00001
Micropruina glycogenica	75385	S	11	6	17	0.00000
Cutibacterium acnes	1747	S	59	13	72	0.00001
Schaalia odontolytica	1660	S	66	33	99	0.00001
Schaalia turicensis	131111	S	12	12	24	0.00000
Actinomyces pacaensis	1852377	S	15	4	19	0.00000
Adlercreutzia equolifaciens	446660	S	2760	409	3169	0.00026
Adlercreutzia hattorii	2707299	S	2069	633	2702	0.00022
Eggerthella lenta	84112	S	301	23	324	0.00003
Gordonibacter urolithinfaciens	1335613	S	102	17	119	0.00001
