name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides cellulosilyticus	246787	S	4117031	2392455	6509486	0.30752
Bacteroides thetaiotaomicron	818	S	1244300	267258	1511558	0.07141
Bacteroides xylanisolvens	371601	S	617149	866643	1483792	0.07010
Bacteroides fragilis	817	S	578341	504132	1082473	0.05114
Bacteroides uniformis	820	S	273833	278949	552782	0.02611
Bacteroides sp. MSB163	3117552	S	168358	49356	217714	0.01029
Bacteroides sp. CACC 737	2755405	S	4586	19207	23793	0.00112
Bacteroides sp. A1C1	2528203	S	3375	18666	22041	0.00104
Bacteroides sp. D2	556259	S	2337	2835	5172	0.00024
Bacteroides sp. M10	2763022	S	2053	1396	3449	0.00016
Bacteroides sp. HF-162	2785531	S	1865	15821	17686	0.00084
Bacteroides sp. DH3716P	2847299	S	1392	13022	14414	0.00068
Bacteroides sp. BFG-257	2972761	S	517	33155	33672	0.00159
Bacteroides sp. ZJ-18	2709390	S	51	309	360	0.00002
Bacteroides nordii	291645	S	110577	7771	118348	0.00559
Bacteroides faecis	674529	S	49372	16024	65396	0.00309
Bacteroides ovatus	28116	S	40261	87031	127292	0.00601
Bacteroides graminisolvens	477666	S	32204	167	32371	0.00153
Bacteroides intestinalis	329854	S	24168	2528	26696	0.00126
Bacteroides eggerthii	28111	S	13168	4171	17339	0.00082
Bacteroides caccae	47678	S	11645	2371	14016	0.00066
uncultured Bacteroides sp.	162156	S	11375	60	11435	0.00054
Bacteroides humanifaecis	2792859	S	10710	75433	86143	0.00407
Bacteroides stercoris	46506	S	10033	2502	12535	0.00059
Bacteroides salyersiae	291644	S	9545	1028	10573	0.00050
Bacteroides caecimuris	1796613	S	8110	2773	10883	0.00051
Bacteroides finegoldii	338188	S	6793	3887	10680	0.00050
Bacteroides luhongzhouii	2650158	S	6173	1269	7442	0.00035
Bacteroides faecium	2715212	S	2976	101	3077	0.00015
Bacteroides helcogenes	290053	S	2034	39	2073	0.00010
Bacteroides zhangwenhongii	2650157	S	1444	1111	2555	0.00012
Bacteroides heparinolyticus	28113	S	1028	168	1196	0.00006
Bacteroides sedimenti	2136147	S	979	9	988	0.00005
Bacteroides zoogleoformans	28119	S	672	115	787	0.00004
Phocaeicola vulgatus	821	S	4586535	2313074	6899609	0.32595
Phocaeicola dorei	357276	S	122796	77883	200679	0.00948
Phocaeicola coprophilus	387090	S	71904	19555	91459	0.00432
Phocaeicola salanitronis	376805	S	18946	985	19931	0.00094
Parabacteroides distasonis	823	S	251903	242292	494195	0.02335
Parabacteroides chongii	2685834	S	69161	5415	74576	0.00352
Parabacteroides merdae	46503	S	15043	3865	18908	0.00089
Parabacteroides sp. AD58	2951805	S	11325	1118	12443	0.00059
Parabacteroides sp. CT06	2025876	S	828	22812	23640	0.00112
Parabacteroides faecis	1217282	S	5250	332	5582	0.00026
Parabacteroides johnsonii	387661	S	3744	461	4205	0.00020
Parabacteroides goldsteinii	328812	S	3038	345	3383	0.00016
Tannerella forsythia	28112	S	272	17	289	0.00001
Tannerella serpentiformis	712710	S	88	0	88	0.00000
Alistipes finegoldii	214856	S	258269	105667	363936	0.01719
